timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,tranche,r2,mae,smape,n,notes
2026-07-05T16:04:09,RF,none,none,False,node,sum,all,-0.6756,22225190.8,154.51,953,
2026-07-05T16:04:09,RF,none,none,False,node,sum,1M,-0.3122,61479656.23,116.78,208,
2026-07-05T16:04:09,RF,none,none,False,node,sum,10M,-0.198,95382331.64,79.16,82,
2026-07-05T16:04:09,RF,none,none,False,node,sum,100M,-0.7003,183196040.29,56.34,20,
2026-07-05T16:04:10,GCN,none,none,False,node,sum,all,0.0373,27963934.63,186.1,948,
2026-07-05T16:04:10,GCN,none,none,False,node,sum,1M,0.157,55898665.35,150.4,224,
2026-07-05T16:04:10,GCN,none,none,False,node,sum,10M,0.0858,87399432.3,115.25,87,
2026-07-05T16:04:10,GCN,none,none,False,node,sum,100M,-1.1779,227975798.79,105.1,22,
2026-07-05T16:04:18,GAT,none,none,False,node,sum,all,0.1464,23800811.95,180.86,948,
2026-07-05T16:04:18,GAT,none,none,False,node,sum,1M,0.1872,49524240.11,132.96,224,
2026-07-05T16:04:18,GAT,none,none,False,node,sum,10M,0.0784,79955172.04,88.41,87,
2026-07-05T16:04:18,GAT,none,none,False,node,sum,100M,-1.2564,227600797.34,97.79,22,
2026-07-05T16:04:20,RF,concat,keepall,True,node,sum,all,-0.1557,19197377.18,152.37,953,
2026-07-05T16:04:20,RF,concat,keepall,True,node,sum,1M,0.1137,55192125.76,116.88,208,
2026-07-05T16:04:20,RF,concat,keepall,True,node,sum,10M,0.3314,75600793.61,80.99,82,
2026-07-05T16:04:20,RF,concat,keepall,True,node,sum,100M,0.0911,120521292.85,37.23,20,
2026-07-05T16:04:21,GCN,concat,keepall,True,node,sum,all,-0.1738,37852831.61,183.16,948,
2026-07-05T16:04:21,GCN,concat,keepall,True,node,sum,1M,0.1071,59620809.67,135.18,224,
2026-07-05T16:04:21,GCN,concat,keepall,True,node,sum,10M,0.0621,82051950.28,78.82,87,
2026-07-05T16:04:21,GCN,concat,keepall,True,node,sum,100M,-1.2453,220020886.71,88.25,22,
2026-07-05T16:04:29,GAT,concat,keepall,True,node,sum,all,0.093,29488973.92,183.07,948,
2026-07-05T16:04:29,GAT,concat,keepall,True,node,sum,1M,0.1966,53097728.3,135.59,224,
2026-07-05T16:04:29,GAT,concat,keepall,True,node,sum,10M,0.1057,82162547.86,90.7,87,
2026-07-05T16:04:29,GAT,concat,keepall,True,node,sum,100M,-1.1703,227083919.07,102.02,22,
2026-07-05T16:04:32,RF,concat,topk,True,node,sum,all,-0.215,18840423.11,154.48,953,
2026-07-05T16:04:32,RF,concat,topk,True,node,sum,1M,0.0924,53071949.22,115.61,208,
2026-07-05T16:04:32,RF,concat,topk,True,node,sum,10M,0.2873,76149115.68,80.91,82,
2026-07-05T16:04:32,RF,concat,topk,True,node,sum,100M,-0.0505,135361068.56,48.92,20,
2026-07-05T16:04:32,GCN,concat,topk,True,node,sum,all,-0.0787,34233328.43,182.56,948,
2026-07-05T16:04:32,GCN,concat,topk,True,node,sum,1M,0.1505,53657061.4,134.46,224,
2026-07-05T16:04:32,GCN,concat,topk,True,node,sum,10M,0.0574,86758432.88,87.5,87,
2026-07-05T16:04:32,GCN,concat,topk,True,node,sum,100M,-1.1965,230273931.61,99.36,22,
2026-07-05T16:04:40,GAT,concat,topk,True,node,sum,all,0.0864,28167125.61,181.05,948,
2026-07-05T16:04:40,GAT,concat,topk,True,node,sum,1M,0.2096,51245801.77,132.77,224,
2026-07-05T16:04:40,GAT,concat,topk,True,node,sum,10M,0.1171,81255226.18,93.39,87,
2026-07-05T16:04:40,GAT,concat,topk,True,node,sum,100M,-1.1286,218830686.2,93.03,22,
2026-07-05T16:04:41,RF,none,none,False,node,first,all,0.3031,12753212.95,140.79,936,
