timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-17T17:45:10,RF,none,none,False,node,first,rf,all,1626085.22,78307479.96,0.0258,0.456,0.6819,106.35,140371,
2026-07-17T17:45:10,RF,none,none,False,node,first,rf,1M,11678690.17,216947757.66,0.0227,-4.785,0.339,124.48,18288,
2026-07-17T17:45:10,RF,none,none,False,node,first,rf,10M,67989106.3,571714157.68,0.0098,-12.3828,0.2436,150.58,2633,
2026-07-17T17:45:10,RF,none,none,False,node,first,rf,100M,528945599.18,1879979220.24,-0.0672,-24.3519,0.1849,168.21,243,
2026-07-17T18:19:23,TabTF,none,none,False,node,first,rf,all,1786248.66,79349369.52,-0.0003,0.3023,0.5529,118.92,140371,
2026-07-17T18:19:23,TabTF,none,none,False,node,first,rf,1M,12861138.23,219835189.87,-0.0034,-8.9595,0.1382,153.45,18288,
2026-07-17T18:19:23,TabTF,none,none,False,node,first,rf,10M,74161294.2,579313618.3,-0.0167,-25.356,-0.004,188.92,2633,
2026-07-17T18:19:23,TabTF,none,none,False,node,first,rf,100M,561402309.4,1904492303.31,-0.0952,-62.625,-0.0311,198.96,243,
2026-07-17T18:20:14,GCN,none,none,False,node,first,rf,all,1738562.35,29058140.18,-0.0016,0.1898,0.4918,124.47,123777,
2026-07-17T18:20:14,GCN,none,none,False,node,first,rf,1M,11349142.53,77559375.99,-0.0215,-7.4164,0.1203,153.41,17372,
2026-07-17T18:20:14,GCN,none,none,False,node,first,rf,10M,58623674.56,195751832.28,-0.0989,-24.6627,-0.0158,186.98,2723,
2026-07-17T18:20:14,GCN,none,none,False,node,first,rf,100M,380365716.22,628511137.44,-0.5784,-80.2495,-0.1128,198.65,258,
2026-07-17T18:22:28,GAT,none,none,False,node,first,rf,all,1749015.03,29043959.3,-0.0006,0.1481,0.4845,125.72,123777,
2026-07-17T18:22:28,GAT,none,none,False,node,first,rf,1M,11224320.81,77518284.55,-0.0204,-6.2726,0.1333,145.75,17372,
2026-07-17T18:22:28,GAT,none,none,False,node,first,rf,10M,58239292.95,195656565.31,-0.0979,-21.6713,-0.0113,181.11,2723,
2026-07-17T18:22:28,GAT,none,none,False,node,first,rf,100M,380010839.93,628334821.17,-0.5775,-73.0218,-0.0881,197.95,258,
