year,actual,predicted,split,n_products,country_pair,model
2015,5801524255.999995,1644041.5,test,2,US_to_China,GAT_first_keepall_attention
2017,5906953533.000001,70057720.0,train,13,US_to_China,GAT_first_keepall_attention
2018,6868293231.999994,135324848.0,train,13,US_to_China,GAT_first_keepall_attention
2019,8931247042.000011,225631552.0,train,13,US_to_China,GAT_first_keepall_attention
2020,11034029479.000008,428776896.0,train,13,US_to_China,GAT_first_keepall_attention
2021,13139555185.999977,648536768.0,train,13,US_to_China,GAT_first_keepall_attention
2022,10189481170.999987,842491840.0,train,12,US_to_China,GAT_first_keepall_attention
2023,5999682696.000013,1186905984.0,test,12,US_to_China,GAT_first_keepall_attention
2024,9778305986.999998,1644041.5,test,2,US_to_China,GAT_first_keepall_attention
2025,10745619212.000017,1644041.5,test,2,US_to_China,GAT_first_keepall_attention
2017,9632356716.999989,660677248.0,train,13,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2018,11640858238.000006,500404672.0,train,13,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2019,15175447749.000025,522391584.0,train,13,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2020,17495847385.99999,634564032.0,train,13,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2021,22391934510.000004,1000552576.0,train,13,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2022,23009135993.999992,988275648.0,train,12,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2023,19384450111.000008,1269513472.0,test,12,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
2024,19877555422.00001,inf,test,2,China_to_Taiwan,EdgeGAT_full_blend_tk_tk
