train_end,test_year,model,n,mae,rmse,r2,log_r2,spearman
2017,2018,HS4W2_GAT_none,5385,130471320.0,2025958598.4341338,-0.003007216277886693,-0.8253786320086858,0.49523696671637835
2017,2018,HS4W2_GAT_topk_concat,5385,128767784.0,2027467792.6882682,-0.004502077225096768,0.09322785907362285,0.4812243912110538
2017,2018,HS4W2_EdgeGAT_attention_ka_tk,5385,124514120.0,2008757251.1964815,0.013952512600478473,0.3068670396460246,0.553247199123619
2017,2018,HS4W2_EdgeGAT_blend_tk_ka,5385,127082830.0,2025473288.1232548,-0.0025268443063453105,0.28150795892505087,0.5394086923436858
2018,2019,HS4W2_GAT_none,5933,119910870.0,1896471378.5145957,-0.00399326529719346,0.15800772849290634,0.45593253658113
2018,2019,HS4W2_GAT_topk_concat,5933,120133110.0,1896531310.9870067,-0.004056876887160943,0.2680133324303392,0.577703110976852
2018,2019,HS4W2_EdgeGAT_attention_ka_tk,5933,120110640.0,1842277086.1422472,0.052567878880581675,0.4739032598209115,0.6673980182972069
2018,2019,HS4W2_EdgeGAT_blend_tk_ka,5933,139221840.0,2086571721.1155894,-0.21535972940078385,0.3597698777317683,0.5970038094114579
2019,2020,HS4W2_GAT_none,6170,130465460.0,2148078893.504096,-0.0036962758065488543,0.058521059269436404,0.40332518632571235
2019,2020,HS4W2_GAT_topk_concat,6170,130353610.0,2147955148.2388434,-0.003580627958627458,0.19510059671973978,0.5006151675359007
2019,2020,HS4W2_EdgeGAT_attention_ka_tk,6170,126152340.0,2131359692.2353594,0.011867150066741106,0.4923824606210624,0.6708086211264732
2019,2020,HS4W2_EdgeGAT_blend_tk_ka,6170,128923000.0,2145326724.7978754,-0.0011259544373705133,0.40249807602969834,0.6304347753665795
2020,2021,HS4W2_GAT_none,6523,160144780.0,2793001115.094582,-0.003292315788413047,0.02219453688369355,0.17732039255731794
2020,2021,HS4W2_GAT_topk_concat,6523,160077090.0,2792866477.826353,-0.003195638818125568,0.26743023901567675,0.5336922963171364
2020,2021,HS4W2_EdgeGAT_attention_ka_tk,6523,155930030.0,2678763636.8652825,0.07710132198326325,0.5011011473687703,0.6824267239278122
2020,2021,HS4W2_EdgeGAT_blend_tk_ka,6523,159974060.0,2791884157.6432557,-0.002490003980894606,0.29677560065214303,0.5389951455478761
2021,2022,HS4W2_GAT_none,5900,182500100.0,2852853691.446151,-0.0040078017364049145,0.03531546289586429,0.46104349858961874
2021,2022,HS4W2_GAT_topk_concat,5900,188716450.0,2879646291.657832,-0.022954612984777745,0.16302874027310887,0.5031584613971045
2021,2022,HS4W2_EdgeGAT_attention_ka_tk,5900,164489940.0,2593317231.4492154,0.17036059819526583,0.5724940352248645,0.7472482820459887
2021,2022,HS4W2_EdgeGAT_blend_tk_ka,5900,178431060.0,2810787426.6791277,0.025382718367340407,0.5214071452130913,0.70448849482814
2022,2023,HS4W2_GAT_none,5085,133619930.0,2491304257.562497,-0.0028689184596379924,0.0182175697032525,0.2643063769171427
2022,2023,HS4W2_GAT_topk_concat,5085,133625310.0,2491317387.385814,-0.002879430754265888,-0.05340624717965059,0.5538191383042963
2022,2023,HS4W2_EdgeGAT_attention_ka_tk,5085,232554620.0,4483524356.976931,-2.2481021707987483,0.5201215597057158,0.7087974650300639
2022,2023,HS4W2_EdgeGAT_blend_tk_ka,5085,131648616.0,2483937556.2096443,0.0030531511545421886,0.37979219470331194,0.6104648872652793
2023,2024,HS4W2_GAT_none,11443,102446870.0,2123087279.203146,-0.0023337752515701915,-0.5331788378283044,0.36452671418721316
2023,2024,HS4W2_GAT_topk_concat,11443,102412650.0,2123067405.335211,-0.0023150815929973145,0.1766422866962496,0.5524877522261159
2023,2024,HS4W2_EdgeGAT_attention_ka_tk,11443,101149896.0,2111050758.987441,0.008999193737979638,0.14927837287297696,0.4718701969392308
2023,2024,HS4W2_EdgeGAT_blend_tk_ka,11443,102624900.0,2118765480.8558688,0.0017428438265537638,0.2125709181663491,0.5460361834628666
2024,2025,HS4W2_GAT_none,9874,91611710.0,2408428765.3301044,-0.0014487867029808754,-0.31971158390344767,0.1676250600255574
2024,2025,HS4W2_GAT_topk_concat,9874,1559776400.0,5710479816.913048,-4.629973218419032,-5.603215919786207,0.5463708804092287
2024,2025,HS4W2_EdgeGAT_attention_ka_tk,9874,91760450.0,2406049314.960043,0.000529064529632417,0.30338542868142016,0.5477561796024376
2024,2025,HS4W2_EdgeGAT_blend_tk_ka,9874,91271630.0,2406390881.777775,0.0002453391820506079,0.3415455330670867,0.5820490643711155
