feature,importance_log_r2,importance_spearman,model,dataset
gdpcap_o,0.3852469988487899,0.3126085582080563,GAT_first_none,electronics
pop_o,0.27143601421548,0.12482739090868424,GAT_first_none,electronics
dist,0.10539294765711156,0.09844856306823942,GAT_first_none,electronics
pop_d,0.07884175349982359,0.06258995580876543,GAT_first_none,electronics
cmdCode,0.036290591651843306,0.044206662150949406,GAT_first_none,electronics
gdpcap_d,0.029047855213259033,0.016483227441427717,GAT_first_none,electronics
refYear,0.0,0.0,GAT_first_none,electronics
gdpcap_o,0.3114341326804701,0.2429200652083774,GAT_first_keepall,electronics
score_mean,0.26475290509851473,0.1117754788309069,GAT_first_keepall,electronics
pop_o,0.19186602101615322,0.08192196654405288,GAT_first_keepall,electronics
active_months,0.11345101798473145,0.029443578287773147,GAT_first_keepall,electronics
goldstein_wmean,0.10215404324256705,0.05384073976734819,GAT_first_keepall,electronics
tone_mean,0.06786920098550586,0.044806769593288075,GAT_first_keepall,electronics
dist,0.052533238110728,0.01794762618445067,GAT_first_keepall,electronics
score_max,0.03176851141067638,0.01443463852489583,GAT_first_keepall,electronics
gdpcap_d,0.03163748664368493,0.01993034864085763,GAT_first_keepall,electronics
cmdCode,0.031523852820227814,0.025622408967128085,GAT_first_keepall,electronics
score_vol,0.028589024628041398,0.01863213208122394,GAT_first_keepall,electronics
events_total,0.01686429385486569,0.005855880749102853,GAT_first_keepall,electronics
pop_d,0.014976348652110763,0.005799147489723285,GAT_first_keepall,electronics
refYear,0.0,0.0,GAT_first_keepall,electronics
gdpcap_o,0.27846652977992065,0.21392140734709197,GAT_first_topk,electronics
pop_o,0.21885179260813195,0.08464321350075306,GAT_first_topk,electronics
events_total,0.1906368699780103,0.09299723452649906,GAT_first_topk,electronics
goldstein_wmean,0.16270621299426535,0.04752253960260008,GAT_first_topk,electronics
active_months,0.117775176822842,0.06665537901552972,GAT_first_topk,electronics
tone_mean,0.11509019817609252,0.07171594211105743,GAT_first_topk,electronics
score_mean,0.07879711588372647,0.04374569912931344,GAT_first_topk,electronics
dist,0.0358119008878928,0.013916898778052208,GAT_first_topk,electronics
cmdCode,0.033862932840896254,0.030246309174216335,GAT_first_topk,electronics
gdpcap_d,0.018421622495192524,0.008719577688906188,GAT_first_topk,electronics
score_vol,0.01744470860882208,0.007057012750704843,GAT_first_topk,electronics
pop_d,0.010608279527752637,0.005133442559066411,GAT_first_topk,electronics
refYear,0.0,0.0,GAT_first_topk,electronics
score_max,-0.0016931797495183254,0.005480855555936248,GAT_first_topk,electronics
node:gdpcap_o,0.15488118567186768,0.18849378065579434,EdgeGAT_full_attention_ka_ka,electronics
node:active_months,0.1486111143583522,0.09338567390078266,EdgeGAT_full_attention_ka_ka,electronics
node:tone_mean,0.11154613887859317,0.08777077586758673,EdgeGAT_full_attention_ka_ka,electronics
node:goldstein_wmean,0.09984345302877058,0.047879735455735796,EdgeGAT_full_attention_ka_ka,electronics
node:pop_o,0.06825992485611065,0.05416410814414424,EdgeGAT_full_attention_ka_ka,electronics
node:score_mean,0.04299582882227312,0.06101818903662346,EdgeGAT_full_attention_ka_ka,electronics
node:cmdCode,0.024627700101635026,0.02757800137998101,EdgeGAT_full_attention_ka_ka,electronics
node:gdpcap_d,0.015476271730945493,0.009244749101402383,EdgeGAT_full_attention_ka_ka,electronics
node:score_vol,0.011721314387495315,0.007426349815734978,EdgeGAT_full_attention_ka_ka,electronics
node:pop_d,0.0037374162389119205,0.00180604130681609,EdgeGAT_full_attention_ka_ka,electronics
edge:dist,0.0006724847241970459,-0.0009121460893698474,EdgeGAT_full_attention_ka_ka,electronics
node:refYear,0.0,0.0,EdgeGAT_full_attention_ka_ka,electronics
edge:pair_gold_mean,-0.0010973474963270984,-0.002142617157435467,EdgeGAT_full_attention_ka_ka,electronics
edge:pair_score_mean,-0.001461261097830624,-0.00024824371610506396,EdgeGAT_full_attention_ka_ka,electronics
node:score_max,-0.0019354623452501423,0.007474583858882444,EdgeGAT_full_attention_ka_ka,electronics
edge:pair_events,-0.0020747503960894718,-0.00031610161934436665,EdgeGAT_full_attention_ka_ka,electronics
edge:pair_score_max,-0.0027997215571855896,-0.0007575853033270722,EdgeGAT_full_attention_ka_ka,electronics
node:events_total,-0.004240607319333363,0.00899437578202981,EdgeGAT_full_attention_ka_ka,electronics
node:gdpcap_o,0.16954287532787946,0.2005845980790144,EdgeGAT_full_attention_ka_tk,electronics
node:tone_mean,0.13505023290106308,0.12790449567651027,EdgeGAT_full_attention_ka_tk,electronics
node:active_months,0.10562252063845816,0.09236023304073598,EdgeGAT_full_attention_ka_tk,electronics
node:score_mean,0.07618107806792052,0.06600376855933632,EdgeGAT_full_attention_ka_tk,electronics
node:goldstein_wmean,0.07158768845434567,0.04406006189926718,EdgeGAT_full_attention_ka_tk,electronics
node:pop_o,0.055549921725844754,0.04812765060189154,EdgeGAT_full_attention_ka_tk,electronics
