feature,importance_log_r2,importance_spearman,model,dataset
heading_idx,0.3042598486267508,0.2346615576803178,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
gdpcap_o,0.1955994483510027,0.1596439933784681,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
pop_o,0.1822438014790008,0.143029638290726,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
tone_mean,0.0925862920323598,0.0766168757323548,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
gdelt_block,0.0897958071649079,0.079832042393806,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
active_months,0.0426566727445071,0.0190366581925119,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
events_total,0.0423238191302125,0.0249295393501778,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
goldstein_wmean,0.0275068872406555,0.0150267653931156,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
gdpcap_d,0.0117790876462806,0.0095705188206696,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
score_max,0.0094060959766847,0.0053761665335192,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
score_mean,0.0087293454071799,0.0060076919681834,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
pop_d,0.0085879183801888,0.0074477880585389,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
score_vol,0.0082605171820446,0.0082975054805188,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
dist,0.0030179612266652,0.0029308674199447,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
cmdCode,0.0022331025376523,0.0021243345745263,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
refYear,0.0,0.0,GAT_first_keepall_attention_shrinkage,all_products_shrinkage
heading_idx,0.3510416133642258,0.2822465435211126,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
pop_o,0.3330250529324813,0.2453872642529145,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
gdpcap_o,0.277835810192834,0.2125252342659136,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
active_months,0.1116323721274457,0.0439105414495536,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
gdelt_block,0.1076977719473938,0.0738722232103187,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
goldstein_wmean,0.0791056819714313,0.0390550672486318,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
tone_mean,0.0493719683010127,0.0492131290415998,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
events_total,0.0429540488816198,0.0225540129647806,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
score_vol,0.0123399214488577,0.009432869476101,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
score_max,0.0100135208506305,0.007663078110745,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
dist,0.0093997321714104,0.0070675072843222,GAT_first_keepall_blend_shrinkage,all_products_shrinkage
