feature,importance_log_r2,importance_spearman,model,dataset
heading_idx,0.3837109871333086,0.2820109774564945,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:gdpcap_o,0.3355470412130479,0.246172615733518,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:pop_o,0.2795102810766163,0.2076104242396279,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:tone_mean,0.0990675558379426,0.0759944831408938,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:active_months,0.0839114538747877,0.038633073078127,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:events_total,0.0627925336840233,0.0346149394251006,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:goldstein_wmean,0.0486748642728259,0.0344099784282268,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:score_mean,0.0303524170285125,0.019148226532056,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:score_max,0.0182636558241162,0.0121454713314874,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:score_vol,0.0168544275611939,0.0112246140155758,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:gdpcap_d,0.0086159235466298,0.0052949593756189,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:pop_d,0.0049512764037097,0.0035557423691249,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:cmdCode,0.0019655825621828,0.0020041605064475,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
edge:pair_score_mean,0.000202384118268,0.0001417020696335,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
edge:pair_events,2.476732576343436e-05,1.5349117409154307e-05,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
edge:pair_score_max,1.2034897847586675e-05,7.71519209759782e-06,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
node:refYear,0.0,0.0,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
edge:dist,-3.0314630836099827e-05,4.557254608258029e-05,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
edge:pair_gold_mean,-4.489865983618261e-05,2.807312056455717e-05,EdgeGAT_full_blend_ka_tk_shrinkage,all_products_shrinkage
heading_idx,0.3385484478971736,0.2827020626774298,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:gdpcap_o,0.2878147702341694,0.1973247347151235,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:pop_o,0.2636568766354202,0.1863999066439824,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:tone_mean,0.0987646621209621,0.0857345170585092,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:goldstein_wmean,0.0948386635552484,0.0357913223058511,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:events_total,0.0908015801216396,0.0281239033669766,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:active_months,0.062063068850133,0.0400792400525782,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:score_mean,0.0475409627329418,0.0369983691143184,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:score_max,0.0239422038303935,0.0163036083210901,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:gdpcap_d,0.0180880173627024,0.0152753513230126,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:score_vol,0.0115754233088246,0.0082839953826126,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:pop_d,0.0094265169328887,0.008045170931031,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
node:cmdCode,0.0060980325289672,0.0061065870007469,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
edge:pair_events,0.0004402126530207,0.0002555110860644,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
edge:dist,4.14006409488558e-05,5.6883482286089006e-05,EdgeGAT_full_concat_ka_tk_shrinkage,all_products_shrinkage
