feature_clean,n_runs,mean_log_r2,std_log_r2,min_log_r2,max_log_r2,mean_spearman,frac_negative
heading_idx,19,0.3448,0.0166,0.3043,0.3723,0.2644,0.0
gdpcap_o,19,0.2761,0.0495,0.1956,0.3949,0.207,0.0
pop_o,19,0.2403,0.0726,0.0863,0.4274,0.1758,0.0
gdelt_block,18,0.136,0.0323,0.0822,0.1987,0.0993,0.0
events_total,18,0.0959,0.0658,0.019,0.2386,0.0488,0.0
tone_mean,18,0.082,0.0346,0.0341,0.1686,0.0632,0.0
goldstein_wmean,18,0.0812,0.0579,0.0096,0.1871,0.0383,0.0
active_months,18,0.0559,0.036,0.009,0.1392,0.0241,0.0
score_mean,18,0.0516,0.0639,0.008,0.2909,0.0267,0.0
score_max,18,0.0195,0.0231,0.0027,0.0877,0.0126,0.0
gdpcap_d,19,0.013,0.0071,0.0048,0.0285,0.0093,0.0
score_vol,18,0.0118,0.0093,0.0034,0.0442,0.0078,0.0
pop_d,19,0.0075,0.006,-0.0002,0.0245,0.0063,0.0526
dist,19,0.0053,0.0087,-0.0001,0.0306,0.0041,0.1053
cmdCode,19,0.003,0.0027,0.0003,0.0129,0.0024,0.0
pair_score_mean,12,0.0001,0.0005,-0.0005,0.0012,0.0,0.6667
pair_events,12,0.0001,0.0001,-0.0,0.0002,0.0,0.3333
pair_score_max,12,-0.0,0.0,-0.0001,0.0,0.0,0.6667
pair_gold_mean,12,-0.0001,0.0001,-0.0004,0.0001,0.0,0.6667
