,rf_mean,rf_std,rf_n_models,mean_log_r2
cmdCode,0.40588,0.00386,3.0,0.0038
pop_o,0.18771,0.01307,3.0,0.2265
gdpcap_o,0.16109,0.01073,3.0,0.2646
gdpcap_d,0.06357,0.00394,3.0,0.0121
pop_d,0.0632,0.00417,3.0,0.0073
dist,0.0593,0.00206,3.0,0.0046
tone_mean,0.0191,0.00385,2.0,0.0815
goldstein_wmean,0.01417,0.00094,2.0,0.0593
score_mean,0.0109,0.00155,2.0,0.056
refYear,0.01032,0.00508,3.0,
score_vol,0.01024,0.00148,2.0,0.0163
score_max,0.00972,6e-05,2.0,0.0196
events_total,0.00823,0.00719,2.0,0.0954
active_months,0.00102,1e-05,2.0,0.0505
heading_idx,,,,0.3416
pair_events,,,,0.0001
pair_gold_mean,,,,-0.0
pair_score_max,,,,0.0
pair_score_mean,,,,0.0001
