model,feature_removed,original_log_r2,loo_log_r2,delta_log_r2,original_spearman,loo_spearman,delta_spearman
EdgeGAT_full_attention_ka_ka,refYear,0.272,0.33281054014712996,0.06081054014712994,0.602,0.6075454254238745,0.005545425423874484
EdgeGAT_full_attention_ka_ka,cmdCode,0.272,0.26049026351858295,-0.011509736481417066,0.602,0.5467303600517518,-0.055269639948248184
EdgeGAT_full_attention_ka_ka,gdpcap_d,0.272,0.08355340015352786,-0.18844659984647216,0.602,0.28463457271678394,-0.31736542728321604
EdgeGAT_full_attention_ka_ka,gdpcap_o,0.272,0.26044870440809675,-0.011551295591903266,0.602,0.5096384798211946,-0.09236152017880539
EdgeGAT_full_attention_ka_ka,pop_o,0.272,-0.09702275166569252,-0.36902275166569254,0.602,0.16629912116186132,-0.4357008788381387
EdgeGAT_full_attention_ka_ka,pop_d,0.272,0.08511324874628912,-0.1868867512537109,0.602,0.2873956448081473,-0.3146043551918527
EdgeGAT_full_attention_ka_ka,events_total,0.272,0.17054832792992736,-0.10145167207007266,0.602,0.5272308470867543,-0.0747691529132457
EdgeGAT_full_attention_ka_ka,score_mean,0.272,0.08380177284891854,-0.18819822715108148,0.602,0.2844368494949812,-0.31756315050501877
EdgeGAT_full_attention_ka_ka,score_max,0.272,0.06682061840821485,-0.20517938159178517,0.602,0.26215913619998205,-0.33984086380001793
EdgeGAT_full_attention_ka_ka,score_vol,0.272,0.1340972293204995,-0.13790277067950052,0.602,0.5292583391337904,-0.07274166086620959
EdgeGAT_full_attention_ka_ka,goldstein_wmean,0.272,0.2689296191096048,-0.003070380890395241,0.602,0.5467717012285886,-0.05522829877141133
EdgeGAT_full_attention_ka_ka,tone_mean,0.272,0.036623811903356396,-0.23537618809664362,0.602,0.2541628108508952,-0.3478371891491048
EdgeGAT_full_attention_ka_ka,active_months,0.272,0.29277547851638897,0.020775478516388945,0.602,0.5524875997253117,-0.049512400274688284
EdgeGAT_full_attention_ka_ka,pair_events,0.272,0.27060646871024074,-0.0013935312897592755,0.602,0.5443793948992839,-0.057620605100716094
EdgeGAT_full_attention_ka_ka,pair_score_mean,0.272,0.181993897406467,-0.09000610259353303,0.602,0.5137962156297389,-0.0882037843702611
EdgeGAT_full_attention_ka_ka,pair_score_max,0.272,0.20312285035166144,-0.06887714964833858,0.602,0.5443701351315361,-0.05762986486846389
EdgeGAT_full_attention_ka_ka,pair_gold_mean,0.272,0.08342593705718382,-0.1885740629428162,0.602,0.2833169912268781,-0.3186830087731219
EdgeGAT_full_attention_ka_ka,dist,0.272,0.20311446772972142,-0.0688855322702786,0.602,0.5291569582816873,-0.07284304171831268
EdgeGAT_full_attention_ka_tk,refYear,0.287,0.29385294028088826,0.006852940280888287,0.576,0.5536053854368793,-0.02239461456312064
EdgeGAT_full_attention_ka_tk,cmdCode,0.287,0.08261971949734004,-0.20438028050265994,0.576,0.28177751163970005,-0.2942224883602999
EdgeGAT_full_attention_ka_tk,gdpcap_d,0.287,0.2786699881948952,-0.008330011805104787,0.576,0.5421248358462135,-0.03387516415378644
EdgeGAT_full_attention_ka_tk,gdpcap_o,0.287,0.08376982935141142,-0.20323017064858856,0.576,0.2854296534391476,-0.29057034656085234
EdgeGAT_full_attention_ka_tk,pop_o,0.287,0.21156526012309695,-0.07543473987690302,0.576,0.516866508414796,-0.05913349158520398
EdgeGAT_full_attention_ka_tk,pop_d,0.287,0.0764694661118962,-0.21053053388810378,0.576,0.2738211918988677,-0.30217880810113223
EdgeGAT_full_attention_ka_tk,events_total,0.287,0.2761078086009964,-0.010892191399003603,0.576,0.5743995796352636,-0.001600420364736399
