name,fusion,combo,simplified_log_r2,simplified_spearman,original_log_r2,delta_log_r2
concat_ka_ka,concat,ka_ka,0.16866325367996404,0.471057577407235,0.211,-0.04233674632003595
blend_ka_ka,blend,ka_ka,0.2704215233261882,0.5457568927799908,0.319,-0.04857847667381182
attention_ka_ka,attention,ka_ka,0.25297215344124124,0.5375358335116674,0.272,-0.019027846558758776
concat_ka_tk,concat,ka_tk,0.13658088354546483,0.4961808785084082,0.335,-0.1984191164545352
blend_ka_tk,blend,ka_tk,0.17366931127852525,0.5156436797712483,0.366,-0.19233068872147474
attention_ka_tk,attention,ka_tk,0.2735471930283744,0.5547341472423867,0.287,-0.013452806971625597
concat_tk_ka,concat,tk_ka,0.09555437391275434,0.48011359906130474,0.331,-0.23544562608724567
blend_tk_ka,blend,tk_ka,0.035091565179216855,0.4968191022441268,0.321,-0.28590843482078315
attention_tk_ka,attention,tk_ka,0.07941344458556931,0.2750837936443694,0.339,-0.2595865554144307
concat_tk_tk,concat,tk_tk,0.20460031790419042,0.5011970033233564,0.34,-0.1353996820958096
blend_tk_tk,blend,tk_tk,0.24787718908297685,0.5748703364958816,0.338,-0.09012281091702318
attention_tk_tk,attention,tk_tk,0.22234002251069085,0.5278587168638378,0.304,-0.08165997748930914
