chapter,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
-1,overall,2422619.2958485493,233818013.89450678,-63.84866551503316,0.32459284320180604,0.612200206295572,116.78233940877736,123777,GAT_first_none_perproduct
1001,per_chapter,6369402.462243669,20299515.839248702,-0.0985279559544876,0.1861870542823305,0.5086403588118104,145.23088605827564,85,GAT_first_none_perproduct
1003,per_chapter,17899069.545579612,95176850.10065497,-0.030169628457865638,0.08523045971243304,0.364163372859025,137.98101915119122,45,GAT_first_none_perproduct
1004,per_chapter,200160.3373426422,421284.24987444625,0.09577760838017657,0.3887438043960717,0.5951219512195123,117.41534791671215,41,GAT_first_none_perproduct
1005,per_chapter,5885080.553945012,17569699.021001834,0.10746778911213761,0.2355916241703132,0.5903388278388279,122.3281841322834,64,GAT_first_none_perproduct
1006,per_chapter,1525034.1515183705,4458356.037977902,0.13303585807521723,0.2244704253932246,0.5076766446530985,140.26250679522434,124,GAT_first_none_perproduct
1007,per_chapter,8446762.52177689,36622843.83338809,-0.011297150716027549,-0.06893643027057972,0.24324324324324326,128.4446183046054,38,GAT_first_none_perproduct
1008,per_chapter,228174.56197858532,1133873.0111886987,-0.034025177770072634,0.18543153479901764,0.49467875662524025,121.52970337837161,152,GAT_first_none_perproduct
1101,per_chapter,1879036.1508800895,4711939.339010686,-0.046174003970786526,0.16694487172317696,0.46285178236397756,105.32533379561563,40,GAT_first_none_perproduct
1102,per_chapter,270525.3223242104,1107380.1105625138,-0.056241121817529605,0.1910617327660663,0.5155239843562934,109.38587475812423,67,GAT_first_none_perproduct
1103,per_chapter,184204.4340390725,369014.8228855106,-0.11443549219563676,0.15204128404464679,0.4031194728615522,126.36638345115108,99,GAT_first_none_perproduct
1104,per_chapter,310934.67652934964,1623833.170582621,-0.01670359186411874,0.12412503433250366,0.47349172130192235,116.61553965288998,156,GAT_first_none_perproduct
1105,per_chapter,260276.9140408682,573061.1106770937,0.08452038793928796,0.1937388856418465,0.5451620648259303,121.43615615907422,50,GAT_first_none_perproduct
1106,per_chapter,127384.02956877022,371173.4843474393,-0.06704788738055889,0.13413246684752245,0.44080882196867566,120.32653767501272,89,GAT_first_none_perproduct
1107,per_chapter,2029153.3182996798,5693156.475416463,-0.08193965630165412,0.1772828359873715,0.4010175763182238,136.03837774663378,47,GAT_first_none_perproduct
1108,per_chapter,466329.7359040717,1825108.9963262347,-0.044748749202327964,0.10239478967656734,0.4313952547930206,122.20610812046675,147,GAT_first_none_perproduct
1201,per_chapter,27178515.46503828,108779871.07180028,-0.04626272967775957,0.1791634678666093,0.5466968325791856,138.49081489177618,51,GAT_first_none_perproduct
1202,per_chapter,814518.3058910484,3007936.6497553573,0.0017808407261687975,-0.04453896823113235,0.26791623286127053,135.25178469452388,73,GAT_first_none_perproduct
1204,per_chapter,816407.9912915205,3158464.4124741275,-0.0548591792487243,0.2059441064614691,0.5790878754171301,110.42332994537153,30,GAT_first_none_perproduct
1205,per_chapter,3050433.6658341647,4619528.748644016,-0.6344741491315002,-0.3004554556522161,0.35042259268522785,141.20785023633053,39,GAT_first_none_perproduct
1206,per_chapter,1353662.5878217472,3515122.400223144,0.14640430077798006,0.2807560579119497,0.7161290322580645,133.76507325706135,30,GAT_first_none_perproduct
1207,per_chapter,399526.81930545083,1492797.5963668283,-0.040862844848402746,0.02772316630949956,0.2376911118798644,133.98416758029,216,GAT_first_none_perproduct
1208,per_chapter,1357706.9928088454,6991796.642447776,-0.009520536111190747,0.25290787875217746,0.5925290642271773,137.70796770191913,54,GAT_first_none_perproduct
1209,per_chapter,598329.7728311392,1466059.888578774,-0.14953933412203102,0.1042703460563078,0.3912314627851389,113.87438911358475,211,GAT_first_none_perproduct
1211,per_chapter,409743.1370932014,1037516.1690996616,0.5442077301804348,0.2781459741159129,0.5093061415846227,131.01161449487742,80,GAT_first_none_perproduct
1212,per_chapter,276695.04686649085,1279376.9247135746,0.00027070733926448654,0.10156709660280161,0.4482094776753105,118.67258579921132,146,GAT_first_none_perproduct
1214,per_chapter,1911004.865471851,7384930.7334125135,-0.024390660974049627,0.2784859331724172,0.38275510204081625,122.87044560611795,49,GAT_first_none_perproduct
