threshold,model,n_features_kept,n_features_original,original_log_r2,pruned_log_r2,delta_log_r2,original_spearman,pruned_spearman,delta_spearman
0.005,EdgeGAT_full_attention_ka_ka,11,18,0.272,0.25701047576732894,-0.014989524232671081,0.602,0.5299122943624089,-0.07208770563759104
0.005,EdgeGAT_full_attention_ka_tk,11,18,0.287,0.05941400306429434,-0.22758599693570564,0.576,0.25559769739929367,-0.3204023026007063
0.005,EdgeGAT_full_blend_tk_tk,11,18,0.338,0.27596259932840284,-0.06203740067159719,0.588,0.5676767552276458,-0.020323244772354143
0.005,EdgeGAT_full_blend_tk_ka,10,18,0.321,0.35728951017380484,0.03628951017380483,0.587,0.607455192234303,0.020455192234303032
0.01,EdgeGAT_full_attention_ka_ka,10,18,0.272,0.32700588052471424,0.055005880524714224,0.602,0.5863586262799485,-0.015641373720051477
0.01,EdgeGAT_full_attention_ka_tk,11,18,0.287,0.33409542665002856,0.04709542665002858,0.576,0.5853882171964966,0.009388217196496629
0.01,EdgeGAT_full_blend_tk_tk,9,18,0.338,0.3256994482078218,-0.012300551792178205,0.588,0.5745290124249978,-0.013470987575002202
0.01,EdgeGAT_full_blend_tk_ka,8,18,0.321,0.29675006979403007,-0.02424993020596994,0.587,0.5690511472234812,-0.01794885277651881
0.02,EdgeGAT_full_attention_ka_ka,9,18,0.272,0.0790688977854016,-0.19293110221459842,0.602,0.27679890919411904,-0.32520109080588094
0.02,EdgeGAT_full_attention_ka_tk,7,18,0.287,0.06719981587356594,-0.21980018412643404,0.576,0.25989837330090804,-0.3161016266990919
0.02,EdgeGAT_full_blend_tk_tk,9,18,0.338,0.31979272210593357,-0.018207277894066454,0.588,0.5838827470825201,-0.0041172529174798855
0.02,EdgeGAT_full_blend_tk_ka,7,18,0.321,0.2901501878626249,-0.030849812137375088,0.587,0.5538093539015212,-0.03319064609847877
0.05,EdgeGAT_full_attention_ka_ka,8,18,0.272,0.0844122613502194,-0.18758773864978062,0.602,0.2847205410462615,-0.3172794589537385
0.05,EdgeGAT_full_attention_ka_tk,5,18,0.287,0.27217091878167476,-0.014829081218325213,0.576,0.5440121635455821,-0.03198783645441783
0.05,EdgeGAT_full_blend_tk_tk,6,18,0.338,0.3111193845256468,-0.02688061547435322,0.588,0.5638649354006345,-0.02413506459936543
0.05,EdgeGAT_full_blend_tk_ka,6,18,0.321,0.3248164110150389,0.0038164110150388786,0.587,0.5853305859771932,-0.0016694140228067367
