epoch,mse,rmse,mae,smape,r2,log_r2,spearman,top1_sqerr_share,top5_sqerr_share,overflow_frac,n_finite,n_total,max_abs_pred_finite,train_loss
1,831669080495766.9,28838673.348400872,1741600.4808945435,129.98971310620772,0.013501830074537757,0.16091654736323124,0.41463195501058103,0.14177913905770062,0.43303761972824545,0.0,123777,123777,658766425.1858853,0.0336482389215833
2,840301899175518.5,28987961.280081745,1749109.1917310911,124.71133312058431,0.0032618680167963987,0.19715001073671456,0.45985870854885746,0.14028074840375312,0.4395641742087879,0.0,123777,123777,771578675.7392628,0.01184882820377426
3,837901542524186.8,28946529.023773935,1720574.9122860758,122.94628074355951,0.006109091148255863,0.2350938048576734,0.4894485372467125,0.1406849409841713,0.44301341019915885,0.0,123777,123777,442995007.8666769,0.01106351238626545
4,836424491637435.2,28921004.333138835,1706305.220036756,122.63741929554581,0.007861119726495724,0.26049953976407436,0.5107143012994905,0.1409463960536215,0.44154233207267085,0.0,123777,123777,120306663.77376306,0.010679024546158574
5,1039653294847378.9,32243655.109918583,1749231.427548261,120.82634281619798,-0.2332021194205458,0.2645111582058287,0.5289480526678765,0.20949818480373203,0.5218206773963349,0.0,123777,123777,5465745052.534882,0.010518496038368907
6,824990078296967.1,28722640.517490156,1704084.1327914393,120.47522970614057,0.021424240081792556,0.2813803413891147,0.5339020093898187,0.1428874584810577,0.44236226382051913,0.0,123777,123777,430983494.04827607,0.01049088461417147
7,827706515146946.8,28769889.036055505,1696961.5644940177,121.95908864802149,0.018202093143703246,0.2868846760366698,0.5435536293289873,0.14243580742142262,0.4398235700010939,0.0,123777,123777,236562955.14345255,0.010250352930688891
8,829816539543718.8,28806536.403110296,1712640.494588095,120.16849224648331,0.015699252464964952,0.29858949228904474,0.5496176330583054,0.14206122681794514,0.446215907980297,0.0,123777,123777,218865521.8138096,0.010140779472162104
9,832631079451343.4,28855347.501829594,1707585.7354495425,119.55981110958449,0.012360738946584737,0.31472982662011595,0.5641686494445413,0.14147767706842207,0.4440256078892547,0.0,123777,123777,281507966.93670636,0.010062643935005116
10,824742715519212.6,28718334.135517202,1718141.2121686107,119.34700456578238,0.02171765357194788,0.3006103931233972,0.5611474844043538,0.14294419734438854,0.44631703634894904,0.0,123777,123777,284228788.7679057,0.009886777851506882
11,826930165419765.9,28756393.470318317,1714532.490732752,118.94943356147604,0.01912297333877977,0.311139714218751,0.5706935800068044,0.14252193236396005,0.4483535892718463,0.0,123777,123777,308635140.1984132,0.009857801149975733
12,828244039276879.0,28779229.30303866,1704845.2623548598,118.76452049847737,0.017564499919541454,0.3265526324019785,0.5763582340932578,0.14234356599803724,0.44747600260088666,0.0,123777,123777,265520214.79083207,0.009768295445778365
13,836174538932556.6,28916682.709684327,1735241.435383738,120.16986022811025,0.008157605301964854,0.32102191521264145,0.5796327568450313,0.14097552985646217,0.4423090004235949,0.0,123777,123777,1460177449.5631456,0.009654569611696277
14,836079145628940.1,28915033.21161745,1735157.8907687655,118.54868879882436,0.008270757662257933,0.31988772030443235,0.5777728022557558,0.14100365394850098,0.44203669604557494,0.0,123777,123777,1040014780.458394,0.009645747597396543
15,840171851179085.5,28985718.055261035,1772701.972098813,118.64702086102893,0.0034161266197578755,0.3162344331447756,0.5812750771882257,0.14025464210506464,0.44123469892703043,0.0,123777,123777,1117852011.8970208,0.009529431527469257
16,833514086437765.5,28870644.025337666,1740498.182334269,118.41801206739073,0.011313345462126367,0.33528124608857635,0.5860111186710462,0.14143836441574517,0.4404970660690576,0.0,123777,123777,752281780.3695098,0.00948269530733249
17,868203864432901.8,29465299.327054217,1742517.6652402808,118.03448547582786,-0.02983451407705795,0.3373537245675128,0.5881220247756087,0.13578224711708525,0.42193200257027996,0.0,123777,123777,2362127472.510029,0.009411364819440016
18,1178571846282185.8,34330334.1999781,1849829.4084726868,117.70808198109637,-0.39798267934882947,0.32937740302387974,0.5930023215651636,0.23861060884194052,0.5126041056655896,0.0,123777,123777,5926698979.2853565,0.009335771243921374
19,2633310166911792.0,51315788.670854434,1976333.261585965,117.8885236518114,-2.123544834630676,0.33160356357380993,0.5949839258907921,0.6148170278582202,0.737233144535417,0.0,123777,123777,14182932977.709105,0.009292690168366587
20,6385166125900201.0,79907234.50289217,2011413.9494634685,117.93037864478926,-6.573871441890959,0.3245629914137791,0.594712502296443,0.8545346706874417,0.9099414766536256,0.0,123777,123777,26014707072.15042,0.009213494770188577
21,1497471017481045.5,38697170.665063426,1854699.1493812895,118.01151206565868,-0.7762502573509951,0.33759602412554823,0.5908296206163208,0.4148301684876456,0.6302382052441705,0.0,123777,123777,8795505714.880259,0.009121717585703064
22,5.068828333127925e+16,225140585.70430887,2428687.7120764265,117.96042722051008,-59.12475384219218,0.3258529197658142,0.5876971018527363,0.9823616099117506,0.9886545687995375,0.0,123777,123777,78534017688.73445,0.009170894536266393
23,1422946564429171.8,37721963.95243985,1950148.365792673,118.19426179560932,-0.6878518326956689,0.32968116293670713,0.5914522063793559,0.12974999049110192,0.40126558806950685,0.0,123777,123777,4943590504.187231,0.00897176206520447
24,1299841863618821.2,36053319.73090441,1889908.9907912393,117.47454844585296,-0.541829135800121,0.35104355920314934,0.6014622411211017,0.13692826585788506,0.4291552646408242,0.0,123777,123777,4856811525.242437,0.008992854514968621
25,1257933205440857.8,35467354.08006717,1884860.0721367495,119.41861542586634,-0.49211848096617206,0.31864962049994994,0.587664702177498,0.09372461581187548,0.3712685401068546,0.0,123777,123777,3937654542.5265665,0.008838077756335983
26,4996646036379180.0,70686958.03597139,1993284.0207822649,119.24668929969451,-4.9268551473803,0.3199819859988462,0.5845215693256364,0.8238875966303724,0.8891577586887547,0.0,123777,123777,22600029329.095036,0.00896466666349629
27,2228918826949041.2,47211426.868386865,2105849.7965092612,118.80188030890247,-1.64386929280441,0.3170233949733122,0.5908770893632164,0.4659002022306519,0.6358838310259899,0.0,123777,123777,11364225162.567394,0.008808903806118087
28,4403653421535974.0,66360028.79396583,2245338.694387858,119.36390176314735,-4.2234670534362255,0.3155739925004043,0.5867811934879192,0.6667127426438987,0.7629978308169666,0.0,123777,123777,19090028082.638725,0.008712807048834701
29,1.1390361270301068e+16,106725635.48792328,3280126.8085337896,119.35590823463127,-12.510867256533844,0.3130907727736756,0.5952822891728559,0.14333132466045817,0.553412593810292,0.0,123777,123777,15326780701.414333,0.00875375642362239
30,6.739331930640659e+16,259602232.8609802,4019070.8026194074,119.10873656579788,-78.93971126273081,0.32956964805013633,0.5998351541671457,0.2745968413725355,0.9565112541262268,0.0,123777,123777,48971757067.21153,0.008629890905753312
31,1099237231439366.9,33154746.740691096,1845360.083244038,120.2775108556567,-0.3038786009484056,0.3210177580691488,0.6015339288557529,0.10723284259008878,0.3757373272801954,0.0,123777,123777,3288810072.432883,0.008604112517217813
32,8093713536822818.0,89965068.4255996,2401490.316130411,118.04758360567948,-8.600493488608526,0.34407134962595587,0.6039775664196799,0.21472521605043945,0.8749211239519522,0.0,123777,123777,15778175732.335384,0.00858685624989897
33,1.2248777613998484e+16,110674195.79106271,2860899.854408397,118.89304750416079,-13.529092139424533,0.31903714534851857,0.5940683518113188,0.17997146466318437,0.7489563225569674,0.0,123777,123777,17629781743.33141,0.008542326910284953
34,3415024577508344.5,58438211.62140697,2199585.4137634337,118.90349735169556,-3.0507884385388113,0.3196676714289457,0.5919807356798361,0.16305918707517641,0.7199201066607473,0.0,123777,123777,9063305817.866827,0.008506159046984787
35,1.7571157431542157e+17,419179644.4430736,4970938.886643277,118.75446771214202,-207.42321851565762,0.3287769682246787,0.6059408440317057,0.271767106899196,0.9846894979787583,0.0,123777,123777,77992300406.94452,0.008453700416251476
36,5404898268820139.0,73518013.22682856,2392153.6483976133,118.44805579707152,-5.411110351302168,0.31235077640310926,0.5961692124405447,0.1633513528678295,0.7377545586095243,0.0,123777,123777,11144293613.682579,0.008497712768249314
37,1.7736473317890768e+16,133178351.5361666,3246309.295372153,118.46006415246535,-20.038414051176325,0.3155000001121472,0.6057615496938119,0.21500398040285687,0.843255158499924,0.0,123777,123777,22837228434.903088,0.008360741217533794
38,6.592467378815734e+16,256758006.27859172,4073988.618666175,118.01046833467801,-77.19765285272179,0.3272562374039074,0.6059936583250877,0.20924705164466922,0.9620476250230962,0.0,123777,123777,42432642651.17364,0.008439003250511933
39,1732175722062345.0,41619415.205674686,2030195.023442472,119.82521655280934,-1.054649162603463,0.3246590389985049,0.6037555512029509,0.10077356459778028,0.42334033113791514,0.0,123777,123777,5452219634.371853,0.008281828514075242
40,1261959241936974.0,35524065.6729628,1924365.4231654475,118.04888478373756,-0.49689403139676425,0.33746697865465036,0.6026481300394347,0.09335629591778602,0.35973332668499136,0.0,123777,123777,3726447054.4144964,0.008480622686565055
41,1396675827503305.2,37372126.34442019,2023856.2422842844,119.79678103346924,-0.6566903593311526,0.30250376332729656,0.6064567734076385,0.08428273551606415,0.3274431092032167,0.0,123777,123777,4141837491.109738,0.008275787242830335
42,3.2032439142441548e+16,178976085.39255056,3127158.034244454,116.72879018916737,-36.995812677598,0.35905059581773335,0.6207992770854486,0.35541745399409125,0.9366266597564858,0.0,123777,123777,38031006825.01481,0.008373037132955908
43,1.090943493196271e+16,104448240.44455086,2805631.473440305,117.6958298913567,-11.940408448137447,0.33767771547292946,0.6098418857084631,0.18101020899478756,0.8337292557242414,0.0,123777,123777,15790157883.535248,0.00819757385068695
44,1.2751021578790165e+17,357085726.10495317,4712768.777650581,118.9597268249909,-150.2483720647422,0.32014446253959705,0.604025769223826,0.22706331552229475,0.9766848058739666,0.0,123777,123777,60975404790.76759,0.008156630706339672
45,2937140614386525.0,54195392.925843105,2466273.0662928275,119.28737001458629,-2.483938394317646,0.3228974526975472,0.6122492811603922,0.10380114399632992,0.4055874774284216,0.0,123777,123777,6634904574.784994,0.008242169568489196
46,1.8828825593066248e+18,1372181678.6805692,13971787.312139148,120.01099547229279,-2232.412594626344,0.2818000236775905,0.6094291425476667,0.19771073080829119,0.9797094591157193,0.0,123777,123777,214766107144.89795,0.00817672387212219
47,1321962022856439.5,36358795.67390042,1822364.4699163567,119.12501223604099,-0.5680673321189769,0.3315331070013334,0.6002598073285351,0.31082746727809957,0.5830257177859995,0.0,123777,123777,7623499419.592689,0.008197553962084107
48,1807103250166438.8,42510037.05204735,2040226.5678360523,117.5116256604226,-1.1435257014639255,0.34692992914127774,0.6097094543082864,0.11894663729823744,0.4848226211508685,0.0,123777,123777,5649937262.966171,0.008110281852223136
49,2.1120383935463464e+16,145328537.92515585,2957697.7029994978,118.48646168030467,-24.052296146488626,0.3353146062236082,0.6128857103969927,0.32502822085440103,0.7723290834797416,0.0,123777,123777,29150431427.551693,0.008086277972050008
50,9565437564362138.0,97803054.98481189,2817938.453651829,118.36021186118376,-10.346203523827588,0.3290781410866881,0.6039394244279457,0.16351899501249192,0.7035431451890721,0.0,123777,123777,15025518460.54351,0.008047797505369427
51,1.6738505034569306e+17,409127181.13771546,3501390.6293065376,118.347507487878,-197.54657304378173,0.3056569971083899,0.5979069054747396,0.9814064994896464,0.9926400895268497,0.0,123777,123777,142630495870.0077,0.008109752412515357
52,1.0272788781034582e+16,101354766.93789287,2606768.406710447,118.35874376465424,-11.18523998328806,0.3310550866639933,0.6082046824841477,0.18887006876065643,0.889977983880386,0.0,123777,123777,16533020958.982462,0.008053749633892894
53,2.64102958887386e+17,513909485.11132383,5667102.4338826835,120.24805427742471,-312.270135591667,0.30717961625078316,0.6028882815471497,0.20034515284393076,0.9838333439539131,0.0,123777,123777,82038856503.62921,0.008024386803396262
54,3.888184452076192e+16,197184797.89467016,3330638.5253318152,117.97030307525856,-45.12034926222465,0.32919714406272593,0.6066123842853349,0.2040167129168207,0.9690472745481344,0.0,123777,123777,31433519822.410233,0.008019888949838766
55,7.550776732860046e+16,274786767.01872027,3983642.211398661,119.64619880999446,-88.56479930745859,0.31607223425729036,0.6050987887310917,0.20361380886862082,0.9756527524751556,0.0,123777,123777,43722270354.04091,0.008049610119083722
56,2.4945482840162024e+16,157941390.5224404,3017702.3634183616,119.30321185777784,-28.5895010970678,0.33017484862747903,0.6121189479772149,0.21277156025407065,0.9410161956958775,0.0,123777,123777,26742797483.518707,0.007994191621299418
