epoch,mse,rmse,mae,smape,r2,log_r2,spearman,top1_sqerr_share,top5_sqerr_share,max_abs_pred,max_abs_true,train_loss
1,inf,inf,4.4751114e+25,191.03116989135742,-inf,-24.16407753991627,0.02113705717922845,,,1.1688331e+30,3820467700.0,1.3153190612792969
2,inf,inf,9.077759e+24,190.90914726257324,-inf,-23.224309500010587,0.020996774888358553,,,2.3636026e+29,3820467700.0,1.268731951713562
3,inf,inf,2.1556535e+24,191.3232922554016,-inf,-22.486505061930643,0.02153247836302153,,,6.537101e+28,3820467700.0,1.2292132377624512
4,inf,inf,1.01831086e+24,191.5899157524109,-inf,-21.913466214229672,0.02167501152304219,,,1.8190861e+28,3820467700.0,1.1961807012557983
5,inf,inf,1.7534162e+24,191.66685342788696,-inf,-21.467063412889267,0.02208315151780983,,,5.1883814e+27,3820467700.0,1.1690473556518555
6,inf,inf,4.943115e+24,191.56819581985474,-inf,-21.133818467123454,0.02238369008106337,,,1.2398845e+28,3820467700.0,1.147140622138977
7,inf,inf,1.4008576e+25,191.54706001281738,-inf,-20.89676424169022,0.022106630991399014,,,3.5110648e+28,3820467700.0,1.129714012145996
8,inf,inf,3.6213942e+25,191.6036605834961,-inf,-20.728237141601998,0.021684751557194994,,,8.990066e+28,3820467700.0,1.1159735918045044
9,inf,inf,8.358493e+25,191.6227102279663,-inf,-20.613336968011804,0.021486688754611297,,,2.0893123e+29,3820467700.0,1.105163335800171
10,inf,inf,1.712822e+26,191.5908932685852,-inf,-20.54100887719179,0.021455946633526422,,,4.408352e+29,3820467700.0,1.0966166257858276
11,inf,inf,3.0760256e+26,191.62589311599731,-inf,-20.49607079981176,0.021347807194013583,,,8.113522e+29,3820467700.0,1.0897661447525024
12,inf,inf,4.882908e+26,191.64235591888428,-inf,-20.466796741137546,0.021244374758817942,,,1.3178392e+30,3820467700.0,1.0841505527496338
13,inf,inf,6.897573e+26,191.62167310714722,-inf,-20.44515996952177,0.021148265101174585,,,1.9052828e+30,3820467700.0,1.0794001817703247
14,inf,inf,8.774014e+26,191.631019115448,-inf,-20.428849069079494,0.021036419915107435,,,2.4478879e+30,3820467700.0,1.0752345323562622
15,inf,inf,1.02180994e+27,191.66111946105957,-inf,-20.41542096503435,0.02103152921656215,,,2.8405096e+30,3820467700.0,1.0714484453201294
16,inf,inf,1.10124494e+27,191.6966676712036,-inf,-20.40178892448818,0.02108972525233951,,,3.0343833e+30,3820467700.0,1.0678980350494385
17,inf,inf,1.112814e+27,191.73842668533325,-inf,-20.3894306878717,0.021097010484370234,,,3.031861e+30,3820467700.0,1.0644863843917847
18,inf,inf,1.0737673e+27,191.73582792282104,-inf,-20.378014080545544,0.02100729478147394,,,2.9332046e+30,3820467700.0,1.0611600875854492
19,inf,inf,1.00471114e+27,191.7214870452881,-inf,-20.369003658745683,0.021016430974015402,,,2.7704787e+30,3820467700.0,1.0578951835632324
20,inf,inf,9.217475e+26,191.6682481765747,-inf,-20.36169448484443,0.02118442561219866,,,2.5284455e+30,3820467700.0,1.0546777248382568
21,inf,inf,8.379892e+26,191.59716367721558,-inf,-20.354315400370073,0.020994532520841713,,,2.2561669e+30,3820467700.0,1.051504373550415
22,inf,inf,7.6254546e+26,191.51103496551514,-inf,-20.34562107073736,0.02100303779155881,,,1.9921544e+30,3820467700.0,1.048371434211731
23,inf,inf,7.00492e+26,191.42475128173828,-inf,-20.333929566924063,0.020906304072719196,,,1.759573e+30,3820467700.0,1.0452609062194824
24,inf,inf,6.536294e+26,191.3435697555542,-inf,-20.319965074790833,0.020858347178197314,,,1.5680322e+30,3820467700.0,1.0421533584594727
25,inf,inf,6.224767e+26,191.27391576766968,-inf,-20.30391375568656,0.020994837920927954,,,1.4471312e+30,3820467700.0,1.0390375852584839
26,inf,inf,6.0643833e+26,191.19073152542114,-inf,-20.285633694353194,0.021043417746010273,,,1.3920748e+30,3820467700.0,1.0359078645706177
27,inf,inf,6.0672042e+26,191.08957052230835,-inf,-20.264930910481073,0.021214259251422382,,,1.4057681e+30,3820467700.0,1.032761812210083
28,inf,inf,6.180751e+26,190.97000360488892,-inf,-20.241782654518058,0.021535492687612238,,,1.4366586e+30,3820467700.0,1.0296015739440918
29,inf,inf,6.358883e+26,190.85315465927124,-inf,-20.216674952745155,0.02172137261344325,,,1.486249e+30,3820467700.0,1.0264250040054321
30,inf,inf,6.579943e+26,190.73692560195923,-inf,-20.188996016199194,0.021867238703260652,,,1.5203108e+30,3820467700.0,1.0232316255569458
