epoch,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman,overflow_frac,n_finite,n_total,train_loss
1,846056197358105.0,29087045.180941034,1759190.2851259827,134.00480178173316,-0.003563668492166494,9.011736260210814,3.001955406099633,2.386906553154757,-0.015858712055024426,-0.007682911109760143,0.0,123777,123777,0.01819063042215318
2,846046695230453.0,29086881.840968326,1758716.4286681877,133.7830268395518,-0.003552397384981587,8.965178038796887,2.994190715167771,2.379516467050543,-0.010610381048051787,-0.0434252649268127,0.0,123777,123777,0.014823058368753998
3,846041735183815.0,29086796.578238294,1758606.8167341824,133.64351072706125,-0.003546513942941143,8.959610297158969,2.993260813420536,2.3766782648758147,-0.009982750735087143,-0.07559430656539383,0.0,123777,123777,0.01479993462405992
4,846062806836669.9,29087158.7962226,1758946.0161018928,134.1318426331237,-0.003571508435394888,8.992089153069644,2.998681235655041,2.3881910983251853,-0.013643968482893953,-0.10524283842023675,0.0,123777,123777,0.014798850228911252
5,846031259035459.5,29086616.493422873,1758333.6181336292,133.35036223562372,-0.003534087484854842,8.939168731336276,2.9898442653984967,2.3698824632675892,-0.0076784508610754365,-0.07043787720109754,0.0,123777,123777,0.014798431750993003
6,846061519430691.8,29087136.666070998,1758806.7697814635,134.0213071263494,-0.0035699813573235595,8.970073560316116,2.9950081068865435,2.3844933110507123,-0.011162234546840955,-0.09299124075645664,0.0,123777,123777,0.014796011634874972
7,846059426775881.2,29087100.69387943,1758733.009031746,133.95314957887777,-0.003567499119919937,8.959572344399282,2.9932544737123976,2.3824107199910762,-0.009978472465011157,-0.09890472413953665,0.0,123777,123777,0.014796296792398344
8,846042991582908.9,29086818.175642878,1758382.1425047726,133.52548583241952,-0.003548004241679781,8.928493437433769,2.9880584728940245,2.372247201574644,-0.006475065630807242,-0.09192747146009399,0.0,123777,123777,0.014794186688779196
9,846055260499075.0,29087029.07653298,1758610.9615335064,133.81331992000426,-0.0035625572212036882,8.946805971768246,2.9911211897494634,2.3789137299198955,-0.008539367892473004,-0.10118429048429098,0.0,123777,123777,0.014806824549224617
10,846050364518769.2,29086944.915524717,1758468.9089575603,133.67373541118738,-0.003556749772511969,8.929506732095453,2.9882280254517815,2.374990423582992,-0.006589290479408039,-0.08866914491019066,0.0,123777,123777,0.014793995975110457
11,846044181084394.2,29086838.623067897,1758345.5008906203,133.52355533183814,-0.003549415188704552,8.9208539166233,2.9867798574088615,2.37160850215346,-0.00561389154102554,-0.09396422838417191,0.0,123777,123777,0.014793252697993047
12,846050372508980.0,29086945.05287518,1758459.760754665,133.67214320420808,-0.0035567592502336876,8.92815800551248,2.9880023436256673,2.3748499555394305,-0.0064372536676402525,-0.11488142739373132,0.0,123777,123777,0.014792111213627519
13,846077822421147.2,29087416.908710666,1759246.9949452092,134.5902327932493,-0.003589319421343218,9.028670985770113,3.0047746980048458,2.399390930797249,-0.01776769918013943,-0.13159830810981604,0.0,123777,123777,0.014796106617531843
14,846045806820038.8,29086866.569296163,1758349.0823943873,133.54812561509047,-0.0035513435821521444,8.918569392431682,2.9863973935884154,2.371854352692154,-0.0053563658283388715,-0.09803205456099419,0.0,123777,123777,0.014803129787728417
15,846040531698344.1,29086775.890399817,1758237.7745639428,133.41984651162258,-0.00354508640857909,8.910641774438208,2.9850698106473503,2.3688950079757785,-0.004462715640186632,-0.05988915187186507,0.0,123777,123777,0.014800251985971591
16,846071258995898.6,29087304.086076774,1758982.301394341,134.30130678346472,-0.0035815341050238203,8.985573394239642,2.997594601382856,2.3907269073146766,-0.012909471801901162,-0.0857053507933341,0.0,123777,123777,0.014805038050433176
17,846060150496213.0,29087113.134448614,1758633.3206459037,133.91451858226623,-0.003568357572861336,8.939424861565028,2.9898870984645938,2.3800615404663237,-0.007707323446422665,-0.06541422557852239,0.0,123777,123777,0.01480727036486762
18,846047288040038.0,29086892.031292,1758327.819301092,133.5623693393261,-0.003553100555957256,8.911183559993075,2.985160558494815,2.371481897424964,-0.004523789062675476,-0.06215207452482394,0.0,123777,123777,0.014800006814047964
19,846040467061424.8,29086774.779294882,1758194.2312634878,133.40678580067836,-0.0035450097384190915,8.90283631072124,2.983762106924954,2.3680128898441857,-0.003582835438463494,-0.06807247602136231,0.0,123777,123777,0.014796988259369344
20,846071108013636.4,29087301.490747407,1758933.5902276176,134.27600959853675,-0.0035813550148955375,8.974742381658373,2.995787439331832,2.3893791362884467,-0.011688532997950807,-0.06591537421460067,0.0,123777,123777,0.014803077652409633
21,846077035007893.5,29087403.373417392,1759145.1572965272,134.51740691559252,-0.0035883854179803443,9.006644662504486,3.0011072394208917,2.396262545545822,-0.01528475563431897,-0.07712503247844305,0.0,123777,123777,0.01480531889121733
22,846077481041565.2,29087411.040544074,1759156.8025350287,134.5316279118565,-0.003588914488258821,9.008476331488808,3.0014123894408127,2.3966379704656275,-0.01549123270395314,-0.06674825564143777,0.0,123777,123777,0.014807651143343772
23,846033781866961.9,29086659.86095622,1758085.4364969586,133.2675464701921,-0.00353707998351549,8.900586639504809,2.983385097419508,2.365304655988167,-0.003329238568949844,-0.07924120271342971,0.0,123777,123777,0.014806630146953317
24,846044998610745.2,29086852.676265016,1758250.1900217293,133.4911813015425,-0.0035503849112199504,8.903878061384752,2.9839366718120464,2.3695892008915784,-0.0037002680237903096,-0.08517756566451008,0.0,123777,123777,0.01480061930104917
25,846051435873702.9,29086963.33194139,1758369.2712914986,133.64504222121653,-0.0035580205780338936,8.910121438844318,2.984982653022345,2.3728316703451586,-0.004404060190117853,-0.0789964759000787,0.0,123777,123777,0.014797960816965836
26,846066144369485.5,29087216.167407382,1758762.0193825793,134.08848959556715,-0.0035754673056054287,8.951896956524825,2.99197208485053,2.384152190753849,-0.009113255217687355,-0.08759520117775024,0.0,123777,123777,0.014806558388638164
27,846006906165744.9,29086197.863690346,1757899.8807392367,132.91341276143217,-0.0035052009223008884,8.9247499309027,2.9874319960298172,2.3606870831394233,-0.006053074394777536,-0.03463739325424931,0.0,123777,123777,0.014797525475520781
28,846081113655925.6,29087473.483544864,1759286.7724809828,134.68920022487953,-0.003593223374364962,9.029050139955887,3.0048377892917757,2.4011090369360657,-0.01781043978768837,-0.0722773720335386,0.0,123777,123777,0.01480723609095962
29,846054309713300.5,29087012.732718024,1758420.229885719,133.71576450204455,-0.0035614294308006222,8.912841077836017,2.9854381718327407,2.3742966175703284,-0.004710634737306929,-0.06928374393444367,0.0,123777,123777,0.014811810264017233
30,846029672885151.8,29086589.227428365,1758014.6614459916,133.1922934455212,-0.0035322060462144034,8.89774452533509,2.9829087356697808,2.3636529301876883,-0.0030088578613263195,-0.06269485826676298,0.0,123777,123777,0.01480814902003838
31,846052273490203.0,29086977.730424367,1758362.9519510283,133.658516585386,-0.0035590141308146084,8.906565838953846,2.984387012261286,2.372756803232289,-0.004003250954136783,-0.06325528166366166,0.0,123777,123777,0.014792191174760532
32,846089493493448.9,29087617.528657258,1759647.696992038,135.1249647961538,-0.0036031632583966022,9.093225051065238,3.015497479863851,2.4140503249847844,-0.025044633139932104,-0.07124727221154722,0.0,123777,123777,0.014796954730277355
33,846051061077829.4,29086956.889262743,1758350.4530853217,133.63850045240812,-0.0035575760076578256,8.906753986820704,2.984418534123641,2.3723932744204963,-0.004024460146703435,-0.0744966085762378,0.0,123777,123777,0.014805987565216427
34,846080482805232.4,29087462.639515884,1759273.9687252552,134.69382527981313,-0.003592475080294033,9.024979790518225,3.004160413579512,2.4007583642322246,-0.017351604795411202,-0.06848478844293664,0.0,123777,123777,0.014817934692354874
35,846065621473874.4,29087207.178996652,1758748.8301375634,134.09697338054738,-0.003574847064255815,8.94763085840473,2.9912590757747366,2.3838452384973268,-0.008632354221847605,-0.08530249643410269,0.0,123777,123777,0.014805882298549419
36,846032520949257.8,29086638.18575907,1758053.451381515,133.25646629573743,-0.0035355843249518237,8.89640610725994,2.9826843794240014,2.364657001935212,-0.002857983088390803,-0.07411395212252378,0.0,123777,123777,0.014800099413940988
37,846038747262108.4,29086745.216027666,1758131.7696625213,133.369765540579,-0.0035429697697781926,8.89575769788446,2.9825756818368347,2.3666713378528597,-0.0027848903686265025,-0.0928676193546341,0.0,123777,123777,0.014807430649742175
38,846055476805098.4,29087032.794788443,1758461.7984045367,133.76839285477948,-0.0035628137962007145,8.916639031605294,2.9860741838750915,2.375515361385672,-0.005138763603165675,-0.09581315503286399,0.0,123777,123777,0.014799139521503102
39,846084479140121.4,29087531.334579106,1759438.3033020184,134.88073870897645,-0.003597215399571141,9.054162521387484,3.009013546228645,2.40652033551249,-0.020641262918894787,-0.10557140432300532,0.0,123777,123777,0.014802281335160792
40,846065038248832.6,29087197.15353875,1758711.8579861019,134.05364542981945,-0.003574155262145995,8.943260536607962,2.990528471124788,2.3828036170284292,-0.008139704487818866,-0.10377371175078451,0.0,123777,123777,0.01480538364533018
41,846067776219930.4,29087244.218384292,1758793.3317878128,134.14615627728895,-0.00357740295222575,8.953288225800538,2.992204576194706,2.3852716761629837,-0.009270087705205654,-0.1008526505170189,0.0,123777,123777,0.014797251384965857
42,846061485005331.0,29087136.074308366,1758597.4878118052,133.92792694558287,-0.003569940523107773,8.929252819245397,2.988185539628588,2.379438134336198,-0.0065606678507175165,-0.11274255215715681,0.0,123777,123777,0.01479326588732168
43,846076690995305.0,29087397.459987804,1759103.779615557,134.4987228000524,-0.0035879773617113475,8.997082617631214,2.9995137301954817,2.3951104974639073,-0.014206862727880631,-0.11785754867049751,0.0,123777,123777,0.01479187941683397
44,846062221526352.5,29087148.734902713,1758611.1821031207,133.946944969023,-0.0035708141598005394,8.930082337937842,2.988324336135193,2.3798494921990403,-0.0066541763341219085,-0.1085021044859139,0.0,123777,123777,0.014795724406895866
45,846041549732224.5,29086793.390338242,1758135.344531311,133.3954047316936,-0.003546293966444347,8.891612114799353,2.981880633895219,2.3668783744547834,-0.0023175745737613607,-0.09533633207081178,0.0,123777,123777,0.014798536184963114
46,846043095745153.0,29086819.96618319,1758150.585344002,133.42392201335355,-0.0035481277954629853,8.89045644153935,2.981686844982107,2.367287479972145,-0.002187299927947972,-0.07669627129018408,0.0,123777,123777,0.014796249176246144
47,846064333650879.0,29087185.041713454,1758648.3948906923,134.00563031118907,-0.0035733194915323896,8.93133309032857,2.9885336020076085,2.380991894730915,-0.006795168888281911,-0.06232433205124258,0.0,123777,123777,0.014812609773696086
48,846067353199496.0,29087236.946803592,1758739.9499305824,134.1091124580857,-0.0035769011794826167,8.9421807985157,2.9903479393735606,2.383717109409307,-0.008017989724304897,-0.05959085504747347,0.0,123777,123777,0.014791062910725078
