heading,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
-1,overall,3595185.125204505,579043083.3528467,-396.7103248379754,0.30985431850872214,0.597417350792272,117.58262687460783,123777,GAT_first_none_shrinkage
1001,per_heading,6389104.0660002455,20277330.039153717,-0.09612805601406671,0.20465140027582662,0.49044841167488634,140.67656248684892,85,GAT_first_none_shrinkage
1003,per_heading,17936021.952103864,95453347.69751604,-0.03616379970501682,0.05229040129785112,0.3499341238471673,132.1473658949788,45,GAT_first_none_shrinkage
1004,per_heading,218341.18150979216,467290.56108990556,-0.1124969500644919,0.21389683120210556,0.5320557491289201,120.95489400453722,41,GAT_first_none_shrinkage
1005,per_heading,5913388.911431677,18774504.187365234,-0.01913615280120151,0.2637620639869974,0.5676282051282051,125.30248218090951,64,GAT_first_none_shrinkage
1006,per_heading,1610331.3663294506,4745251.0679500755,0.017867616640923956,0.26379789539232434,0.54472583535868,144.928517857647,124,GAT_first_none_shrinkage
1007,per_heading,8307473.643896889,36302592.615958795,0.006312246091126905,0.25619065353434,0.5159207790786737,120.37318890588331,38,GAT_first_none_shrinkage
1008,per_heading,228755.37353633103,1133409.2938118866,-0.03317958502873131,0.20359799876905915,0.48378366372060494,121.6540072252553,152,GAT_first_none_shrinkage
1101,per_heading,2237581.8475332223,4710610.982258513,-0.04558422710142618,0.10568943559826227,0.4476547842401501,120.81508300630578,40,GAT_first_none_shrinkage
1102,per_heading,270146.4388868978,1095578.7211469111,-0.0338482828983544,0.11072215728180923,0.5302897278314311,114.50676983548269,67,GAT_first_none_shrinkage
1103,per_heading,187772.475043945,364565.1085023902,-0.08772100210748879,0.0803023546834899,0.47813126249057203,126.52776469143636,99,GAT_first_none_shrinkage
1104,per_heading,316968.4530686042,1627476.0100404506,-0.02127036926207948,0.054189113456202254,0.4522434441193461,123.53375215537623,156,GAT_first_none_shrinkage
1105,per_heading,257969.81059962887,597618.8188696287,0.004376056597505951,0.1004499771993812,0.43261542906657025,129.0859675984701,50,GAT_first_none_shrinkage
1106,per_heading,123498.64453922489,367092.42166884564,-0.04371244167836874,0.15325802699483837,0.46470966307212375,120.13932926404279,89,GAT_first_none_shrinkage
1107,per_heading,2067758.0349867512,5795404.571245934,-0.1211515361720823,0.24933476782188013,0.4325855689176688,139.7137948390768,47,GAT_first_none_shrinkage
1108,per_heading,463027.0644261297,1825493.7884214923,-0.04518932939727449,0.1601044058337755,0.456918064113945,125.42080489598713,147,GAT_first_none_shrinkage
1201,per_heading,27250692.70586639,109281345.91119713,-0.05593150024787441,0.2821426967357701,0.529683257918552,144.96620422408506,51,GAT_first_none_shrinkage
1202,per_heading,831610.0878124936,3054511.2535500256,-0.029371143856353754,-0.051664497613499005,0.30001542790847757,135.45872559083193,73,GAT_first_none_shrinkage
