name,fusion,combo,simplified_log_r2,simplified_spearman,original_log_r2,delta_log_r2
concat_ka_ka,concat,ka_ka,-0.042538750465157094,0.44227777262276,,
blend_ka_ka,blend,ka_ka,0.056845601546991587,0.5017261414914232,,
attention_ka_ka,attention,ka_ka,0.07204014799385083,0.26748301591513396,,
concat_ka_tk,concat,ka_tk,0.055060262189206344,0.48476276903514076,,
blend_ka_tk,blend,ka_tk,0.31133042480496553,0.5617276037306721,,
attention_ka_tk,attention,ka_tk,0.12462334620966165,0.5290305484438361,,
concat_tk_ka,concat,tk_ka,0.27576543084942184,0.5330548127475689,,
blend_tk_ka,blend,tk_ka,0.2635166634023527,0.5254915548804066,,
attention_tk_ka,attention,tk_ka,0.08374469679394525,0.2826201650778257,,
concat_tk_tk,concat,tk_tk,0.24986522755237361,0.5135300412624298,,
blend_tk_tk,blend,tk_tk,0.17534054305673386,0.5487208879639413,,
attention_tk_tk,attention,tk_tk,0.2557491358274563,0.521898166736053,,
