timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-14T18:48:56,RF,none,none,False,node,first,median,all,1588472.68,72449273.97,0.1661,0.4705,0.6964,105.23,140371,
2026-07-14T18:48:56,RF,none,none,False,node,first,median,1M,11425536.51,200717958.92,0.1635,-4.7238,0.3403,123.56,18288,
2026-07-14T18:48:56,RF,none,none,False,node,first,median,10M,66265980.17,528937579.95,0.1524,-12.2993,0.2433,150.33,2633,
2026-07-14T18:48:56,RF,none,none,False,node,first,median,100M,510554787.02,1739022725.87,0.0868,-24.1397,0.2017,166.6,243,
2026-07-14T19:22:21,TabTF,none,none,False,node,first,median,all,1797434.73,79353397.68,-0.0004,0.2176,0.5408,124.33,140371,
2026-07-14T19:22:21,TabTF,none,none,False,node,first,median,1M,13029425.48,219846481.59,-0.0035,-13.3553,0.1184,169.41,18288,
2026-07-14T19:22:21,TabTF,none,none,False,node,first,median,10M,74393366.71,579338940.44,-0.0168,-34.1487,-0.0273,193.19,2633,
2026-07-14T19:22:21,TabTF,none,none,False,node,first,median,100M,561605017.15,1904545299.09,-0.0953,-81.0943,-0.1309,199.35,243,
2026-07-14T19:23:52,GCN,none,none,False,node,first,median,all,1744746.36,29055383.12,-0.0014,0.1683,0.4874,125.27,123777,
2026-07-14T19:23:52,GCN,none,none,False,node,first,median,1M,11346488.72,77550413.88,-0.0213,-6.9315,0.1181,151.99,17372,
2026-07-14T19:23:52,GCN,none,none,False,node,first,median,10M,58563039.95,195728985.56,-0.0987,-23.7262,-0.0084,186.32,2723,
2026-07-14T19:23:52,GCN,none,none,False,node,first,median,100M,380271127.4,628460739.91,-0.5781,-77.986,-0.1211,198.5,258,
2026-07-14T19:26:48,GAT,none,none,False,node,first,median,all,1731684.97,29064935.9,-0.002,0.176,0.4457,124.96,123777,
2026-07-14T19:26:48,GAT,none,none,False,node,first,median,1M,11438043.46,77579418.49,-0.022,-8.4556,0.1284,160.02,17372,
2026-07-14T19:26:48,GAT,none,none,False,node,first,median,10M,58790260.86,195795972.09,-0.0994,-26.7035,0.0019,189.83,2723,
2026-07-14T19:26:48,GAT,none,none,False,node,first,median,100M,380517273.83,628595067.91,-0.5788,-83.4402,-0.1347,198.96,258,
2026-07-14T19:30:03,GATv2,none,none,False,node,first,median,all,1733942.46,29061704.56,-0.0018,0.1861,0.4982,124.42,123777,
2026-07-14T19:30:03,GATv2,none,none,False,node,first,median,1M,11405526.26,77570062.42,-0.0218,-7.2652,0.1171,155.68,17372,
2026-07-14T19:30:03,GATv2,none,none,False,node,first,median,10M,58741159.35,195774781.77,-0.0992,-24.8019,-0.0147,189.04,2723,
2026-07-14T19:30:03,GATv2,none,none,False,node,first,median,100M,380438342.74,628542973.73,-0.5785,-80.2754,-0.1104,198.84,258,
2026-07-14T19:34:46,RF,concat,keepall,True,node,first,median,all,1608645.44,74713425.26,0.1132,0.4908,0.7096,104.52,140371,
2026-07-14T19:34:46,RF,concat,keepall,True,node,first,median,1M,11609001.79,206990993.78,0.1104,-4.4102,0.3595,123.52,18288,
2026-07-14T19:34:46,RF,concat,keepall,True,node,first,median,10M,67464786.49,545470623.81,0.0986,-11.3642,0.2637,150.55,2633,
2026-07-14T19:34:46,RF,concat,keepall,True,node,first,median,100M,522686759.87,1793490677.16,0.0287,-23.0205,0.2048,169.03,243,
2026-07-14T19:59:32,RF,none,none,False,node,first,median,all,1588472.68,72449273.97,0.1661,0.4705,0.6964,105.23,140371,
2026-07-14T19:59:32,RF,none,none,False,node,first,median,1M,11425536.51,200717958.92,0.1635,-4.7238,0.3403,123.56,18288,
2026-07-14T19:59:32,RF,none,none,False,node,first,median,10M,66265980.17,528937579.95,0.1524,-12.2993,0.2433,150.33,2633,
2026-07-14T19:59:32,RF,none,none,False,node,first,median,100M,510554787.02,1739022725.87,0.0868,-24.1397,0.2017,166.6,243,
2026-07-14T20:39:52,TabTF,none,none,False,node,first,median,all,1790744.49,79352136.14,-0.0004,0.2952,0.5542,119.52,140371,
2026-07-14T20:39:52,TabTF,none,none,False,node,first,median,1M,12969955.67,219843004.64,-0.0035,-10.1687,0.1185,161.96,18288,
2026-07-14T20:39:52,TabTF,none,none,False,node,first,median,10M,74336347.59,579331386.15,-0.0168,-28.3551,-0.0121,192.09,2633,
2026-07-14T20:39:52,TabTF,none,none,False,node,first,median,100M,561548716.71,1904527893.56,-0.0953,-68.3332,-0.0942,199.25,243,
2026-07-14T20:41:05,GCN,none,none,False,node,first,median,all,1731545.25,29064303.35,-0.002,0.1709,0.4608,124.98,123777,
2026-07-14T20:41:05,GCN,none,none,False,node,first,median,1M,11429433.25,77577417.09,-0.022,-8.029,0.1332,159.22,17372,
2026-07-14T20:41:05,GCN,none,none,False,node,first,median,10M,58762467.86,195791634.82,-0.0994,-25.7902,-0.0106,189.3,2723,
2026-07-14T20:41:05,GCN,none,none,False,node,first,median,100M,380503761.89,628591081.91,-0.5788,-82.2256,-0.1554,198.93,258,
