timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-09T11:21:44,RF,none,none,False,node,first,median,all,6359266.9,36757789.59,0.5116,0.6209,0.7862,101.94,965,
2026-07-09T11:21:44,RF,none,none,False,node,first,median,1M,26817037.22,76771904.53,0.4578,-0.9732,0.6,93.52,220,
2026-07-09T11:21:44,RF,none,none,False,node,first,median,10M,62959812.51,122181202.07,0.3299,-3.5577,0.5038,89.16,86,
2026-07-09T11:21:44,RF,none,none,False,node,first,median,100M,176817273.25,228460031.74,-0.4624,-17.5444,0.3208,90.59,21,
2026-07-09T11:21:55,TabTF,none,none,False,node,first,median,all,9278694.35,53131201.12,-0.0204,0.2793,0.5624,129.48,965,
2026-07-09T11:21:55,TabTF,none,none,False,node,first,median,1M,39948169.54,111273772.42,-0.1391,-3.2819,0.2665,150.45,220,
2026-07-09T11:21:55,TabTF,none,none,False,node,first,median,10M,96477786.07,177744602.94,-0.4182,-13.7317,0.0599,177.59,86,
2026-07-09T11:21:55,TabTF,none,none,False,node,first,median,100M,297684468.18,353243352.68,-2.4962,-99.2014,0.0714,194.84,21,
2026-07-09T11:21:55,GCN,none,none,False,node,first,median,all,11311806.3,57874781.25,-0.0181,0.2144,0.5406,133.5,948,
2026-07-09T11:21:55,GCN,none,none,False,node,first,median,1M,43434471.77,118400388.26,-0.1224,-3.4805,0.2494,151.92,224,
2026-07-09T11:21:55,GCN,none,none,False,node,first,median,10M,103720255.68,189415504.18,-0.3969,-11.8849,0.0618,163.51,87,
2026-07-09T11:21:55,GCN,none,none,False,node,first,median,100M,310271231.16,368033701.5,-2.4273,-69.2494,0.3224,188.25,22,
2026-07-09T11:22:03,GAT,none,none,False,node,first,median,all,10228979.64,56659225.02,0.0242,0.2249,0.5169,133.05,948,
2026-07-09T11:22:03,GAT,none,none,False,node,first,median,1M,41106112.49,116486404.23,-0.0864,-2.8988,0.2757,145.55,224,
2026-07-09T11:22:03,GAT,none,none,False,node,first,median,10M,100483004.87,186821719.63,-0.3589,-11.6653,0.149,162.39,87,
2026-07-09T11:22:03,GAT,none,none,False,node,first,median,100M,306918130.0,365370474.92,-2.3779,-65.1985,0.2682,183.17,22,
2026-07-09T11:22:05,RF,concat,keepall,True,node,first,median,all,6274065.72,36751815.9,0.5118,0.672,0.8097,101.73,965,
2026-07-09T11:22:05,RF,concat,keepall,True,node,first,median,1M,27094095.63,76969688.24,0.455,-0.4921,0.7224,103.4,220,
2026-07-09T11:22:05,RF,concat,keepall,True,node,first,median,10M,65860624.45,123052363.47,0.3203,-1.8749,0.6019,103.18,86,
2026-07-09T11:22:05,RF,concat,keepall,True,node,first,median,100M,197208854.55,242787412.64,-0.6516,-8.7739,0.6571,102.78,21,
2026-07-09T11:22:24,TabTF,concat,keepall,True,node,first,median,all,9434976.03,51826100.43,0.0291,0.3703,0.6272,124.91,965,
2026-07-09T11:22:24,TabTF,concat,keepall,True,node,first,median,1M,38784709.39,107982297.02,-0.0727,-3.5576,0.2955,148.65,220,
2026-07-09T11:22:24,TabTF,concat,keepall,True,node,first,median,10M,91511341.3,172196463.04,-0.3311,-12.379,0.0495,155.46,86,
2026-07-09T11:22:24,TabTF,concat,keepall,True,node,first,median,100M,283953874.71,342231484.82,-2.2816,-83.442,0.2351,179.14,21,
2026-07-09T11:22:26,GCN,concat,keepall,True,node,first,median,all,17399571.62,107264171.58,-2.4972,0.3058,0.5952,130.86,948,
2026-07-09T11:22:26,GCN,concat,keepall,True,node,first,median,1M,71899223.42,220641287.59,-2.8976,-2.634,0.4013,144.95,224,
2026-07-09T11:22:26,GCN,concat,keepall,True,node,first,median,10M,162403856.93,340426122.89,-3.5122,-8.5295,0.2053,160.7,87,
2026-07-09T11:22:26,GCN,concat,keepall,True,node,first,median,100M,411628823.88,565140195.16,-7.0814,-41.855,0.205,163.35,22,
2026-07-09T11:22:33,GAT,concat,keepall,True,node,first,median,all,10082199.7,56272955.3,0.0375,0.2698,0.5302,131.41,948,
2026-07-09T11:22:33,GAT,concat,keepall,True,node,first,median,1M,41281881.43,115727904.61,-0.0723,-3.3191,0.3711,155.87,224,
