model,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman,overflow_frac
GAT_first_none,3287417482082984.5,57336005.11095087,10437864.250972731,133.46847319896057,0.0007812313334248921,9.188117630389835,3.031190794125278,2.3858340395319826,0.23656646504721235,0.508513893939729,0.0
GAT_first_keepall_concat,3147811547802275.0,56105361.132446826,10472367.698284978,134.1456263676297,0.043214804346527136,9.14781080352326,3.0245348077883416,2.3961183173543876,0.23991552788634074,0.5453003954207594,0.0
GAT_first_keepall_blend,2972011767376266.5,54516160.60744067,10408293.834953232,134.26914748019553,0.09664958745105301,9.380881590571072,3.062822487603725,2.4123937915499734,0.22054985778851577,0.5540291066716863,0.0
GAT_first_keepall_attention,3290541727569482.5,57363243.698116325,10618941.611483932,135.69622418669462,-0.00016839089893383452,10.1551593732222,3.1867160797947154,2.502337126012224,0.15621572010947116,0.5585362227373332,0.0
GAT_first_topk_concat,3333255618150830.0,57734353.88181659,11948796.352414336,134.77591921045007,-0.013151384809585442,9.588478272787714,3.096526808020191,2.448082017811452,0.20330081121286825,0.5636888643052504,0.0
GAT_first_topk_blend,2928948762877824.5,54119763.145063974,10179823.789659508,131.37044641830892,0.10973869541027448,8.690943302863872,2.9480405870448716,2.3144432585215906,0.27787629254610324,0.5773292952401995,0.0
GAT_first_topk_attention,3341503692754782.0,57805741.00169275,10344716.93134641,135.18249922017577,-0.015658407721810264,9.036943477261248,3.00615094053197,2.3925974408389576,0.24912740764275831,0.5899627475809477,0.0
EdgeGAT_full_concat_ka_ka,4032919672950389.5,63505272.796441,12206210.235336192,134.25775529406212,-0.22581602479747698,9.568363253458593,3.093277105831062,2.430781285271767,0.20497215249623224,0.4995850489855724,0.0
EdgeGAT_full_blend_ka_ka,3268714001842958.0,57172668.31137898,10455227.73023683,134.30836099915,0.00646620094774264,9.496605641783486,3.0816563146761653,2.41968542028253,0.2109344365401047,0.5597552771443324,0.0
EdgeGAT_full_attention_ka_ka,3367405140849763.0,58029347.2378396,10391959.198260717,131.03446370390472,-0.023531217674670035,8.959683705260511,2.993273075624827,2.32190947571631,0.25554686190105846,0.534491907796745,0.0
EdgeGAT_full_concat_tk_tk,3308515262087851.5,57519694.55836715,11165962.5885636,135.9944473442099,-0.005631491684858769,9.929044737381558,3.1510386759577482,2.488664747156673,0.17500340902340383,0.51965925240477,0.0
EdgeGAT_full_blend_tk_tk,3409399915968280.5,58390066.92895874,10913368.758608783,132.23013031795807,-0.03629563464119623,9.191447193221235,3.031739961345833,2.366436501699364,0.23628981426579265,0.5319341430111864,0.0
EdgeGAT_full_attention_tk_tk,3330636506101044.0,57711666.98425063,10866913.018134259,133.17656586092005,-0.01235529914913891,9.271712818668975,3.0449487382662084,2.3894647124236204,0.22962060598660305,0.5617728119216303,0.0
EdgeGAT_full_concat_ka_tk,4652613272857457.0,68210067.23979574,13149534.426424006,134.48937091608903,-0.4141734449379064,9.392421011616056,3.064705697390217,2.4162401663528006,0.2195910562848712,0.5125794152549262,0.0
EdgeGAT_full_blend_ka_tk,3296884121838207.5,57418499.82225422,11147285.61677556,137.24225744727707,-0.00209617750533031,10.83876428604318,3.292227860589722,2.5765345113494837,0.09941552053650704,0.44097315657584,0.0
EdgeGAT_full_attention_ka_tk,3257253650839486.5,57072354.52335471,10335486.636487143,133.77182651533943,0.009949603308589072,9.225059320819009,3.0372782751698946,2.385696860212955,0.23349700877270896,0.5216182921951221,0.0
EdgeGAT_full_concat_tk_ka,3506771526046684.5,59218000.01728093,12393793.646623116,139.93003787357958,-0.0658919791444128,10.640672001861656,3.262004292128025,2.601962429214992,0.1158748540848038,0.47118281018678143,0.0
EdgeGAT_full_blend_tk_ka,3384737847721613.5,58178499.87513956,10296329.34529707,131.74992920978102,-0.028799537294110555,9.541984580610839,3.0890102914381554,2.4014284690079992,0.20716393587011028,0.5035920330588368,0.0
EdgeGAT_full_attention_tk_ka,3399641928461892.0,58306448.42949956,11140132.616544154,135.86169373198248,-0.03332966992453379,9.912818073276641,3.148462811163035,2.4739812783065904,0.17635166990081508,0.5215495151613498,0.0
