timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-19T00:45:46,GAT,none,none,False,node,first,rf,all,9735871.8,54628147.06,-0.0206,0.314,0.5925,126.47,1611,
2026-07-19T00:45:46,GAT,none,none,False,node,first,rf,1M,39566892.56,112158484.43,-0.1149,-2.3863,0.2871,132.97,382,
2026-07-19T00:45:46,GAT,none,none,False,node,first,rf,10M,94592262.08,182838286.15,-0.3022,-10.1167,0.1489,160.69,138,
2026-07-19T00:45:46,GAT,none,none,False,node,first,rf,100M,273821828.48,358761641.0,-1.4431,-45.6105,0.2593,171.51,34,
2026-07-19T00:45:51,GAT,concat,keepall,True,node,first,rf,all,8934642.01,52532730.41,0.0562,0.333,0.5974,126.16,1611,
2026-07-19T00:45:51,GAT,concat,keepall,True,node,first,rf,1M,35870772.9,107801149.74,-0.03,-2.3637,0.3121,134.76,382,
2026-07-19T00:45:51,GAT,concat,keepall,True,node,first,rf,10M,90331902.26,178779911.66,-0.245,-10.0694,0.1609,157.96,138,
2026-07-19T00:45:51,GAT,concat,keepall,True,node,first,rf,100M,272679747.06,354176415.49,-1.3811,-44.8685,0.3167,173.94,34,
2026-07-19T00:45:57,GAT,blend,keepall,True,node,first,rf,all,9133960.2,51441674.68,0.095,0.3161,0.588,126.76,1611,
2026-07-19T00:45:57,GAT,blend,keepall,True,node,first,rf,1M,36935058.58,105616277.23,0.0114,-2.5683,0.2984,133.55,382,
2026-07-19T00:45:57,GAT,blend,keepall,True,node,first,rf,10M,90274860.75,172352355.19,-0.1571,-10.139,0.1739,153.43,138,
2026-07-19T00:45:57,GAT,blend,keepall,True,node,first,rf,100M,246111612.76,331064295.39,-1.0805,-42.5084,0.354,158.67,34,
2026-07-19T00:46:04,GAT,attention,keepall,True,node,first,rf,all,9128649.04,53921712.23,0.0056,0.2599,0.5828,128.45,1611,
2026-07-19T00:46:04,GAT,attention,keepall,True,node,first,rf,1M,35881212.49,110658303.37,-0.0853,-1.9578,0.2345,124.48,382,
2026-07-19T00:46:04,GAT,attention,keepall,True,node,first,rf,10M,91488256.93,183763554.8,-0.3154,-8.8689,0.0394,151.71,138,
2026-07-19T00:46:04,GAT,attention,keepall,True,node,first,rf,100M,282863490.31,364774413.8,-1.5257,-49.6509,0.2559,185.46,34,
2026-07-19T00:46:10,GAT,concat,topk,True,node,first,rf,all,9796910.58,52313080.92,0.064,0.3118,0.6102,126.92,1611,
2026-07-19T00:46:10,GAT,concat,topk,True,node,first,rf,1M,38085608.63,106397563.03,-0.0033,-2.2384,0.2595,136.91,382,
2026-07-19T00:46:10,GAT,concat,topk,True,node,first,rf,10M,90842464.4,172443993.89,-0.1584,-9.7316,0.1375,160.3,138,
2026-07-19T00:46:10,GAT,concat,topk,True,node,first,rf,100M,258942906.71,337086417.22,-1.1568,-43.3428,0.4099,165.86,34,
2026-07-19T00:46:16,GAT,blend,topk,True,node,first,rf,all,8778041.85,50529732.14,0.1268,0.3546,0.6141,125.71,1611,
2026-07-19T00:46:16,GAT,blend,topk,True,node,first,rf,1M,35503718.66,103748966.82,0.046,-2.2446,0.2625,131.66,382,
