timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-17T22:10:45,GAT,none,none,False,node,first,rf,all,10236134.76,57105386.75,0.0088,0.2534,0.5265,132.25,948,
2026-07-17T22:10:45,GAT,none,none,False,node,first,rf,1M,41386851.96,117410403.71,-0.1037,-3.0005,0.3088,149.1,224,
2026-07-17T22:10:45,GAT,none,none,False,node,first,rf,10M,101512035.72,188317134.06,-0.3808,-11.8755,0.181,165.04,87,
2026-07-17T22:10:45,GAT,none,none,False,node,first,rf,100M,310034401.13,368321049.94,-2.4326,-64.8552,0.1406,186.3,22,
2026-07-17T22:10:52,GAT,concat,keepall,True,node,first,rf,all,10148075.32,53746421.96,0.122,0.2827,0.5228,131.04,948,
2026-07-17T22:10:52,GAT,concat,keepall,True,node,first,rf,1M,42028852.51,110558514.7,0.0214,-3.8557,0.376,156.51,224,
2026-07-17T22:10:52,GAT,concat,keepall,True,node,first,rf,10M,98468152.53,175786173.6,-0.2031,-13.265,0.2155,166.58,87,
2026-07-17T22:10:52,GAT,concat,keepall,True,node,first,rf,100M,270386661.04,336686509.77,-1.8683,-62.7527,0.3179,154.16,22,
2026-07-17T22:11:00,GAT,concat,topk,True,node,first,rf,all,9975033.05,54153936.47,0.1086,0.3106,0.5582,131.05,948,
2026-07-17T22:11:00,GAT,concat,topk,True,node,first,rf,1M,40848800.98,111375745.94,0.0069,-3.1237,0.3108,146.88,224,
2026-07-17T22:11:00,GAT,concat,topk,True,node,first,rf,10M,97561233.12,177895911.45,-0.2322,-12.4097,0.2113,165.28,87,
2026-07-17T22:11:00,GAT,concat,topk,True,node,first,rf,100M,280695682.34,343530746.95,-1.9861,-62.3023,0.2953,166.27,22,
2026-07-17T22:11:13,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,all,10039838.1,56827435.82,0.0184,0.3309,0.5843,127.19,948,
2026-07-17T22:11:13,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,1M,41385845.44,116887137.92,-0.0938,-3.2216,0.2962,143.38,224,
2026-07-17T22:11:13,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,10M,101913328.5,187478847.38,-0.3685,-12.5585,0.1535,170.98,87,
2026-07-17T22:11:13,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,100M,309389123.4,366561727.94,-2.3999,-73.5876,0.3811,188.16,22,
2026-07-17T22:11:24,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,all,10322405.84,54827411.75,0.0863,0.3331,0.6125,129.57,948,
2026-07-17T22:11:24,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,1M,41872042.55,112724134.49,-0.0173,-3.1132,0.224,143.21,224,
2026-07-17T22:11:24,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,10M,98408000.97,178999935.02,-0.2475,-12.5413,0.1022,164.19,87,
2026-07-17T22:11:24,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,100M,276372864.9,344072989.61,-1.9956,-75.7738,0.2366,162.22,22,
2026-07-17T22:11:36,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,all,10078576.71,57345475.55,0.0005,0.3276,0.5828,127.46,948,
2026-07-17T22:11:36,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,1M,41793616.61,117963955.37,-0.1141,-4.0301,0.2221,151.43,224,
2026-07-17T22:11:36,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,10M,102853992.52,189212127.24,-0.3939,-15.6954,0.0967,175.87,87,
2026-07-17T22:11:36,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,100M,312326925.67,369984637.34,-2.4637,-90.7592,0.249,191.42,22,
2026-07-17T22:11:47,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,all,10049967.64,56044489.88,0.0453,0.3399,0.5927,126.7,948,
2026-07-17T22:11:47,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,1M,41500754.08,115278451.82,-0.0639,-3.6546,0.2041,149.14,224,
2026-07-17T22:11:47,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,10M,100392331.47,184764262.79,-0.3292,-14.9889,0.0453,170.66,87,
2026-07-17T22:11:47,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,100M,298996448.28,360673103.8,-2.2916,-90.5754,0.1101,176.34,22,
