timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-17T23:18:36,GAT,none,none,False,node,first,rf,all,11010681.79,58042453.6,-0.024,0.3027,0.5497,132.26,948,
2026-07-17T23:18:36,GAT,none,none,False,node,first,rf,1M,45295822.29,119351553.91,-0.1405,-3.9019,0.309,156.78,224,
2026-07-17T23:18:36,GAT,none,none,False,node,first,rf,10M,107374762.77,190259530.11,-0.4094,-14.2883,0.1394,172.21,87,
2026-07-17T23:18:36,GAT,none,none,False,node,first,rf,100M,303400517.26,362986776.74,-2.3339,-75.9184,0.1937,173.42,22,
2026-07-17T23:18:44,GAT,concat,keepall,True,node,first,rf,all,10625011.31,56535866.12,0.0285,0.2417,0.4981,132.11,948,
2026-07-17T23:18:44,GAT,concat,keepall,True,node,first,rf,1M,42253060.44,115631355.54,-0.0705,-3.922,0.3273,162.63,224,
2026-07-17T23:18:44,GAT,concat,keepall,True,node,first,rf,10M,101946062.51,185192518.62,-0.3353,-14.4286,0.1429,174.8,87,
2026-07-17T23:18:44,GAT,concat,keepall,True,node,first,rf,100M,301881107.63,361193707.15,-2.3011,-75.377,0.2739,181.35,22,
2026-07-17T23:18:52,GAT,concat,topk,True,node,first,rf,all,9958763.97,55442251.08,0.0657,0.3677,0.6001,127.29,948,
2026-07-17T23:18:52,GAT,concat,topk,True,node,first,rf,1M,41273637.36,114042629.84,-0.0413,-3.2438,0.394,152.6,224,
2026-07-17T23:18:52,GAT,concat,topk,True,node,first,rf,10M,100019843.13,182650227.36,-0.2989,-12.2636,0.2357,168.17,87,
2026-07-17T23:18:52,GAT,concat,topk,True,node,first,rf,100M,296534004.57,356108737.51,-2.2088,-62.2701,0.3145,175.43,22,
2026-07-17T23:19:04,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,all,9960032.45,55948430.45,0.0486,0.3345,0.5849,128.05,948,
2026-07-17T23:19:04,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,1M,40958903.6,115076207.06,-0.0602,-3.2411,0.3376,144.38,224,
2026-07-17T23:19:04,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,10M,100362873.47,184537605.8,-0.3259,-12.2358,0.1981,167.43,87,
2026-07-17T23:19:04,EdgeGAT_full,attention,ka_ka,True,bilateral,first,rf,100M,303410003.36,360741564.03,-2.2928,-67.9531,0.3439,181.81,22,
2026-07-17T23:19:15,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,all,10594649.89,56749284.62,0.0211,0.2498,0.5332,130.59,948,
2026-07-17T23:19:15,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,1M,42254376.13,116354468.6,-0.0839,-4.5178,0.2143,163.16,224,
2026-07-17T23:19:15,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,10M,102692343.34,186519471.05,-0.3545,-17.4738,0.1402,178.81,87,
2026-07-17T23:19:15,EdgeGAT_full,blend,tk_tk,True,bilateral,first,rf,100M,305728974.06,364072124.65,-2.3539,-92.6275,0.3224,185.84,22,
2026-07-17T23:19:27,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,all,10406385.82,57946232.3,-0.0206,0.249,0.5387,131.85,948,
2026-07-17T23:19:27,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,1M,42554013.6,119153188.04,-0.1367,-4.3785,0.2113,161.46,224,
2026-07-17T23:19:27,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,10M,104652591.25,191123827.36,-0.4222,-18.0702,0.0581,184.06,87,
2026-07-17T23:19:27,EdgeGAT_full,attention,ka_tk,True,bilateral,first,rf,100M,316648050.75,373637457.54,-2.5325,-112.122,0.275,197.14,22,
2026-07-17T23:19:38,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,all,10259917.25,56646341.13,0.0247,0.2926,0.5651,128.8,948,
2026-07-17T23:19:38,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,1M,41993303.51,116450790.73,-0.0857,-4.2065,0.1859,160.26,224,
2026-07-17T23:19:38,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,10M,101947282.68,186637869.03,-0.3563,-17.171,0.0768,177.87,87,
2026-07-17T23:19:38,EdgeGAT_full,blend,tk_ka,True,bilateral,first,rf,100M,306108712.81,364622966.89,-2.3641,-99.8864,0.2163,186.13,22,
